adm2_code,count,gids
3981,3,18569|18707|18708
3992,2,18732|18738
4143,2,19265|19228
4197,6,58984|59894|59862|59909|59861|59885
4299,2,56896|56901
4300,4,56942|56978|56971|57008
4340,2,60916|60400
4363,12,55061|55181|55137|55101|55173|55128|55139|55138|55155|55154|55149|55170
4375,333,69161|69326|69236|69450|69334|69252|69459|69325|69338|69428|69308|69427|69163|69426|69134|69336|69175|69276|69298|69234|69164|69423|69388|69259|69301|69320|69337|69425|69165|69311|69445|69168|69399|69415|69316|69190|69303|69313|69144|69364|69305|69396|69345|69288|69160|69401|69268|69191|69275|69340|69178|69413|69414|69374|69370|69156|69224|69171|69451|69135|69245|69322|69132|69349|69436|69341|69238|69202|69422|69289|69200|69453|69215|69419|69407|69424|69302|69129|69208|69217|69461|69263|69176|69204|69222|69314|69394|69194|69400|69251|69213|69351|69167|69228|69201|69272|69375|69294|69442|69360|69254|69307|69158|69239|69398|69280|69170|69192|69363|69405|69304|69330|69281|69381|69455|69180|69315|69353|69166|69130|69421|69323|69443|69299|69196|69312|69159|69306|69380|69223|69327|69220|69343|69173|69278|69210|69418|69219|69260|69438|69342|69148|69186|69151|69329|69227|69182|69179|69131|69241|69229|69448|69440|69242|69357|69386|69216|69218|69293|69267|69195|69354|69203|69247|69143|69154|69199|69406|69214|69358|69356|69348|69367|69262|69207|69198|69209|69333|69264|69137|69368|69309|69296|69300|69295|69230|69157|69253|69378|69271|69408|69231|69205|69319|69285|69441|69277|69146|69373|69145|69434|69279|69256|69244|69181|69402|69403|69359|69258|69417|69240|69454|69324|69286|69449|69133|69221|69232|69366|69248|69283|69344|69226|69152|69310|69321|69265|69169|69431|69140|69153|69187|69249|69395|69297|69225|69273|69350|69250|69389|69287|69371|69328|69458|69430|69141|69416|69432|69376|69318|69412|69384|69139|69149|69291|69274|69385|69184|69347|69235|69352|69142|69332|69237|69457|69155|69188|69362|69397|69183|69339|69346|69147|69409|69420|69269|69433|69290|69377|69177|69365|69444|69284|69257|69197|69410|69335|69452|69150|69174|69390|69355|69162|69136|69383|69393|69138|69391|69435|69292|69266|69331|69193|69282|69211|69185|69387|69255|69447|69212|69261|69429|69369|69172|69404|69379|69439|69382|69206|69460|69411|69361|69270|69246|69392|69189|69233|69317|69437|69372|69446|69456|69243
4469,11,67254|67286|67255|67258|67262|67292|67263|67268|67287|67279|67273
4490,5,66729|66760|66752|66787|66723
4491,2,66790|66789
4498,2,66761|66766
4508,18,67225|67210|67219|67235|67229|67238|67214|67231|67223|67218|67217|67211|67221|67232|67216|67212|67209|67222
4556,10,67674|67670|67679|67661|67631|67678|67677|67672|67669|67645
4627,2,66563|66567
4633,2,66388|66545
4792,2,66324|66321
4817,3,67963|67944|67949
4819,2,68369|68234
4823,2,67988|67982
4872,6,68978|68980|68947|68976|68925|68968
4873,8,68971|68967|68936|68932|68941|68975|68972|68973
4901,2,19083|18995
4939,3,59339|59342|59410
4941,12,61172|61098|61293|61274|61307|60601|61121|61400|61419|61275|61299|61367
4997,4,66990|66952|66948|67008
5007,9,66496|66461|66503|66483|66480|66408|66505|66478|66456
5009,3,66411|66313|66414
5028,2,66263|66232
5034,3,66561|66525|66564
5037,2,66669|66670
5041,3,65876|65890|65850
5059,2,66522|66517
5070,16,66498|66473|66502|66509|66500|66510|66499|66506|66487|66501|66488|66489|66491|66492|66493|66497
5087,3,66674|66673|66676
5094,2,65514|65493
5096,2,66323|65732
5117,2,66905|66911
5125,3,59308|59415|59439
5128,156,59290|60088|60089|60124|58930|60463|59423|58956|58951|60394|59285|58970|58972|58981|58975|58982|58995|58998|59006|60474|59026|59015|59112|59286|60462|60478|59052|60025|59062|60423|59066|59086|59104|59107|59100|59110|59108|59109|59106|60229|59209|59122|59117|59124|59126|59128|59127|59133|59160|59210|59135|59141|59139|59145|59155|59147|59159|60424|59157|59165|59162|59164|59167|59996|59169|59174|59175|59223|59222|59170|59171|59189|59187|59191|59194|59228|59202|59203|59249|59217|59263|59248|59230|59232|59219|59246|59252|59276|59264|59282|59266|59261|59270|59405|59255|60411|59274|60396|60517|59292|59294|60419|59297|59296|60103|59312|59316|59321|59936|59317|59323|59325|60102|59345|60224|59284|60085|59388|59421|60519|59435|59433|59438|60440|59577|59512|59901|60080|59564|59597|59607|59604|59623|59676|59644|59647|59687|59686|59692|59689|59703|59698|59700|59699|59704|59701|59705|59709|59716|59715|59719|59730|59722|59727|59744|59755
5129,2,66910|66908
5132,6,59457|59481|59422|59620|59622|59631
5146,6,62114|62247|62275|62289|62238|62223
5147,7,65188|65239|65203|65204|65225|65072|65218
5148,23,63038|63189|63149|63012|63132|63067|63072|63139|63190|63163|63081|63383|63488|63507|63514|63231|63234|63153|63278|63059|63300|63117|63297
5152,9,62115|62097|62026|62106|62101|61975|62086|62093|62092
5153,2,61133|60934
5154,4,64307|64330|64338|64351
5155,2,65033|64972
5156,3,60998|61180|61091
5157,9,63978|64081|63936|64050|64056|64215|63992|64047|64007
5158,3,64983|65028|64900
5160,8,61529|61644|61653|61418|61496|61664|61575|61591
5161,2,60062|61150
5166,27,60007|60000|60014|59848|59826|60001|60054|58967|60052|59841|60066|60035|59254|59887|59997|59348|59328|59883|59437|59462|59483|59975|59573|60069|60115|60220|59863
5167,2,64659|64667
5173,2,60763|60547
5180,5,64040|64020|63799|64022|64031
5184,8,64135|64157|64168|64149|64122|64141|64162|64156
5185,18,65385|65390|65425|65374|65412|65367|65392|65381|65363|65375|65408|65394|65349|65379|65372|65387|65388|65371
5188,3,64452|64342|64481
5189,7,61649|61748|61732|61738|61700|61813|61707
5203,33,63273|63836|63313|64002|63310|63873|63387|63903|63342|63875|63375|63413|63430|63324|63429|63425|63432|63436|63434|63437|63293|63445|63552|63571|63563|63600|63364|63301|63640|63285|63485|63497|63306
5206,27,62575|62733|62566|62652|62811|62470|62489|62704|62506|62517|62825|62636|62634|62723|62685|62625|62520|62500|62768|62610|62555|62692|62617|62736|62667|62686|62765
5209,14,64609|64583|64503|64591|64615|64600|64603|64593|64594|64578|64550|64582|64538|64554
5213,7,64230|64216|64198|64207|64218|64193|64217
5215,14,60775|60975|61045|61115|61078|60875|61157|61168|61126|60896|61136|61070|60980|60834
5224,2,64753|64829
5232,16,65343|65351|65302|65229|65258|65321|65327|65292|65341|65335|65267|65340|65334|65319|65333|65336
5234,2,63921|63963
5237,4,62972|63122|62943|63037
5242,4,61860|61840|61881|61880
5245,49,58790|58429|58737|58736|58735|58519|58898|58415|58786|58807|58801|57209|58806|58821|58819|58823|58557|58837|57147|58861|58866|58870|58872|58886|58921|58936|58935|58953|58952|57141|58064|58517|58587|57144|58671|58602|58591|57202|58567|58541|58696|58436|58676|58650|58555|58694|58634|58576|58580
5246,2,61939|61906
5247,3,61000|60972|61154
5252,19,62426|62452|62437|62441|62596|62281|62507|62294|62293|62307|62604|62382|62384|62342|62330|62388|62369|62394|62339
5270,3,66623|66572|66634
5272,3,66638|66589|66637
5283,7,66874|66813|66823|66898|66891|66864|66701
5301,2,66444|66472
5308,2,66856|66837
5310,4,66494|66579|66577|66429
5313,2,66917|66954
5315,35,66719|66445|66924|66929|66791|66464|66855|66470|66825|66797|66949|66914|66700|64721|66551|66849|66705|66430|66474|66879|66433|66830|66909|66542|66454|66458|66450|66528|66556|66437|66796|66447|66810|66416|66764
5325,2,67320|68923
5330,10,67305|67301|67302|67293|67299|67311|67288|67310|67290|67303
5331,2,67435|67417
5333,2,67340|67337
5334,3,67308|67315|67307
5335,30,67264|67269|67282|67298|67240|67276|67271|67285|67284|67281|67233|67261|67277|67274|67250|67247|67275|67267|67244|67280|67241|67297|67283|67294|67243|67249|67234|67295|67251|67272
5337,3,67406|67389|67365
5340,6,67450|67426|67436|67438|67454|67444
5342,2,67245|67248
5343,3,67449|67429|67437
5350,4,67433|67443|67432|67424
5352,2,67352|67393
5358,2,67185|67177
5366,2,67169|67159
5372,4,67109|67040|67154|67155
5407,2,67136|67182
5413,2,67173|67171
5414,2,67174|67213
5421,5,67228|67184|67175|67226|67230
5424,15,67205|67199|67194|67082|67201|67196|67200|67198|67203|67206|67207|67191|67195|67193|67190
5433,5,66901|66763|66902|66873|66916
