gid,adm0_code,adm0_name,adm1_code,adm1_name,adm2_code,adm2_name,st_area
18569,3.00000,Albania,325.00000,Lushnje,3981.00000,Divjake,0.0079912268572497
18708,3.00000,Albania,325.00000,Lushnje,3981.00000,Divjake,2.01661408747828e-05
18707,3.00000,Albania,325.00000,Lushnje,3981.00000,Divjake,2.78016684470839e-05
18732,3.00000,Albania,325.00000,Lushnje,3992.00000,Rremas,0.0020384267817964
18738,3.00000,Albania,325.00000,Lushnje,3992.00000,Rremas,0.00208795627223666
19265,3.00000,Albania,340.00000,Vlore,4143.00000,Qender,0.000558855745750041
19228,3.00000,Albania,340.00000,Vlore,4143.00000,Qender,0.00652904519440972
24866,4.00000,Algeria,372.00000,Oran,38615.00000,Ain Kerma,0.000111169711772163
24947,4.00000,Algeria,372.00000,Oran,38615.00000,Ain Kerma,0.0112696554689684
24794,4.00000,Algeria,372.00000,Oran,38622.00000,Bousfer,7.24590044001161e-05
24813,4.00000,Algeria,372.00000,Oran,38622.00000,Bousfer,0.00475944328023651
26555,4.00000,Algeria,376.00000,Saida,38731.00000,Doui Thabet,4.98967438034015e-07
26282,4.00000,Algeria,376.00000,Saida,38731.00000,Doui Thabet,0.0213796693758574
59885,5.00000,American Samoa,389.00000,Administrative unit not available,4197.00000,Administrative unit not available,0.0039013224086375
59894,5.00000,American Samoa,389.00000,Administrative unit not available,4197.00000,Administrative unit not available,0.0121674950496526
59909,5.00000,American Samoa,389.00000,Administrative unit not available,4197.00000,Administrative unit not available,0.000109557229734492
58984,5.00000,American Samoa,389.00000,Administrative unit not available,4197.00000,Administrative unit not available,0.000456267232948449
59861,5.00000,American Samoa,389.00000,Administrative unit not available,4197.00000,Administrative unit not available,0.000352054194081575
59862,5.00000,American Samoa,389.00000,Administrative unit not available,4197.00000,Administrative unit not available,0.000683226433466189
56901,8.00000,Angola,408.00000,Luanda,4299.00000,Luanda,0.0128716372924315
56896,8.00000,Angola,408.00000,Luanda,4299.00000,Luanda,0.000583335741794144
56971,8.00000,Angola,408.00000,Luanda,4300.00000,Viana,0.000509610713834263
56978,8.00000,Angola,408.00000,Luanda,4300.00000,Viana,4.80594649161503e-05
57008,8.00000,Angola,408.00000,Luanda,4300.00000,Viana,4.05498558393447e-05
56942,8.00000,Angola,408.00000,Luanda,4300.00000,Viana,0.139390526783775
60400,8.00000,Angola,413.00000,Namibe,4340.00000,Tombua,1.50952154357126
60916,8.00000,Angola,413.00000,Namibe,4340.00000,Tombua,0.00906539098741632
55155,8.00000,Angola,415.00000,Zaire,4363.00000,Soyo,0.000282478973986144
