country,no
State of Haryāna,
Republic of Indonesia,
Republic of Senegal,2
Republic of India,11
Asia,5
Southeast Asia,2
Bangladesh,4
United Kingdom of Great Britain and Northern Ireland,4
Republic of Nicaragua,5
Grand Duchy of Luxembourg,2
Republic of South Africa,
Republic of Ghana,
Republic of Honduras,
Faransā,
Mexico,2
European Union,
Canada,
Kūriyā,
United States,7
Republic of Zimbabwe,
Beijing Shi,
East Coast Statistical Area,
Kingdom of Sweden,3
Montpellier,
Arica,2
State of Bihār,
Ireland,
Russian Federation,2
Republic of Benin,2
Kingdom of Cambodia,
Republic of Kazakhstan,13
Irtīriyā,
Federal Democratic Republic of Nepal,
Republic of Niger,2
Republic of Ecuador,
Republic of Malawi,5
Washington,
Burkina Faso,
Bogor,
Américas Park,
Kingdom of Belgium,3
Al Yābān,
Swiss Confederation,2
Republic of Kenya,9
Central America,
New Zealand,
Ḩaql Sahl,
Latin America Lutheran Church,
Provincia di Firenze,
Republic of Mali,3
África,6
Kingdom of Spain,2
Italy,
Islamic Republic of Afghanistan,
Senegal,
Republic of Burundi,
Republic of Mozambique,5
Kingdom of the Netherlands,2
Portuguese Republic,
African Union Bethel Church (historical),
Nairobi,2
Republic of Angola,
West Asia Hotel Shanghai,2
Republic of Rwanda,
Al Maghrib,
Commonwealth of Australia,3
Lao People’s Democratic Republic,
Kingdom of Norway,
Sahara,
Beirut,
Indūnīsiyā,
Kingdom of Denmark,2
Republic of Turkey,
Central Asia,
Independent State of Papua New Guinea,
Republic of Cameroon,
Patancheru,
Republic of Zambia,
Federal Democratic Republic of Ethiopia,3
Republic of Peru,
United Republic of Tanzania,5
Mexico City,
Republic of France,3
Lima,
Uganda,
Central Africa,
District of Columbia,
Latin America and the Caribbean,2
Cotonou,
Al Filibbīn,
Federal Republic of Nigeria,4
Kingdom of Thailand,
Mahdia,12
People’s Republic of China,8
Republic of Uganda,15
George Town,
Republic of Colombia,
Republic of Finland,
