country,no
United States,7
Federative Republic of Brazil,
Montpellier,4
Sultanate of Oman,
Arica,7
Plurinational State of Bolivia,2
Federal Democratic Republic of Nepal,
Republic of India,7
Republic of Liberia,
Southeast Asia,
Republic of Malawi,2
Bamako,
Kingdom of the Netherlands,2
Bangladesh,
Nairobi,4
Republic of Zambia,2
Nagoya-shi,2
Federal Democratic Republic of Ethiopia,
Republic of Peru,
United Republic of Tanzania,2
Presbyterian Church of East Africa,
Republic of Rwanda,
Republic of France,2
Arab Republic of Egypt,
Mahdia,5
Republic of Uganda,2
Republic of Kenya,
