country,no
Angola,
Estaleiro Itajaí South America,
Latin America Lutheran Church,
Republic of Mali,
África,3
Senegal,2
Republic of Burundi,
Republic of India,6
Ibadan,
Asia,4
Republic of Mozambique,2
Bangladesh,4
Nairobi,
Republic of Angola,
United Kingdom of Great Britain and Northern Ireland,2
Republic of Nicaragua,2
West Asia Hotel Shanghai,
Republic of Rwanda,2
Al Maghrib,
Commonwealth of Australia,
Republic of South Africa,
Republic of Ghana,
Faransā,2
African Lake,2
United States,2
Republic of Zimbabwe,
East Coast Statistical Area,
State of Bihār,
Republic of Benin,
Hawlandā,
Federal Democratic Republic of Nepal,2
Great Lakes,
Republic of Ecuador,
Republic of Cameroon,2
Republic of Malawi,5
Republic of Zambia,
Federal Democratic Republic of Ethiopia,3
Republic of Peru,
United Republic of Tanzania,3
Republic of France,
Uganda,
Central Africa,2
Kingdom of Belgium,2
Latin America and the Caribbean,
Federal Republic of Nigeria,3
Republic of the Philippines,
Mahdia,12
People’s Republic of China,
Republic of Uganda,3
Republic of Colombia,
Republic of Kenya,3
