country,no
Federative Republic of Brazil,
Warsaw,
State of Haryāna,
Latin America Lutheran Church,
Plurinational State of Bolivia,
Republic of Mali,
Indo-Gangetic Plain,
Republic of Senegal,10
Socialist Republic of Vietnam,4
Seattle,
Senegal,
Republic of India,10
Asia,
Bangladesh,4
Republic of Mozambique,6
Kingdom of the Netherlands,2
African Union Bethel Church (historical),
Republic of Angola,5
United Kingdom of Great Britain and Northern Ireland,
Republic of Nicaragua,5
Commonwealth of Australia,
Republic of South Africa,2
Republic of Ghana,3
Faransā,
State of Queensland,
Janūb Afrīqiyā,2
Banghlādish,
Islamic Republic of Pakistan,3
United States,7
Kingdom of Swaziland,
Kingdom of Denmark,
Bākistān,
Republic of Zimbabwe,
Democratic Socialist Republic of Sri Lanka,
Kingdom of Sweden,2
Federal Republic of Germany,3
Montpellier,
State of Bihār,2
Ireland,
Russian Federation,
Tāylānd,
Kīnyā,4
Federal Democratic Republic of Nepal,10
Republic of Niger,
Republic of Liberia,
Taman South East Asia,
Republic of Malawi,
Bi’r al Usayd,
Republic of the Sudan,3
Republic of Peru,
Federal Democratic Republic of Ethiopia,9
Washington,
Burkina Faso,
United Republic of Tanzania,2
Arab Republic of Egypt,
Federal Republic of Nigeria,
Republic of the Philippines,2
Kingdom of Thailand,
Colômbia,2
Almāniyā,2
People’s Republic of China,2
Mahdia,4
Republic of Uganda,2
Republic of Colombia,21
Republic of Kenya,15
Republic of Finland,
