country,no
Federative Republic of Brazil,
State of Haryāna,3
Republic of Azerbaijan,
Republic of Mali,13
Islamic Republic of Afghanistan,2
Republic of Senegal,4
Republic of India,34
Asia,5
Republic of Mozambique,3
Rabat,
Eastern Province,2
State of Gujarāt,3
United Kingdom of Great Britain and Northern Ireland,
Syrian Arab Republic,
Kingdom of Morocco,6
Amrīkā,
Al Maghrib,3
Commonwealth of Australia,
Striga,2
State of Rājasthān,
Niger,2
Inera,
Hellenic Republic,
Mexico,2
Marathwada Region,
Pearl,2
United States,2
Republic of Turkey,3
Federal Republic of Germany,
Lebanon,
Russian Federation,
Islamic Republic of Iran,2
State of Eritrea,2
Hawlandā,
Republic of Kazakhstan,
Republic of Niger,3
Republic of Chile,2
State of Mahārāshtra,2
West Region,
Republic of the Sudan,4
Swarnanadī River,
Falouel,
Hech,
Washington,4
Republic of Peru,3
Federal Democratic Republic of Ethiopia,10
United Republic of Tanzania,20
Burkina Faso,2
Hyderabad,
Republic of Uzbekistan,
Republic of France,2
Arab Republic of Egypt,2
Central Africa,4
Uganda,3
Al Filibbīn,
Federal Republic of Nigeria,7
People’s Republic of China,
Mahdia,7
Republic of Uganda,10
Republic of Kenya,10
