country,no
Fergana Valley,
Federative Republic of Brazil,
Naha-shi,3
Dakshin Bairāgi,
Badakhshān,
Kyzyl,
Île Nigria,
Indira Gandhi Canal,6
Al Kuwayt,
Muḩāfaz̧at ad Daqahlīyah,
Altay,
Republic of Austria,
Andijan,
Kyrgyz Republic,5
California,
Tunisian Republic,33
Rasht,10
Republic of India,23
Marsabit,2
Palestine,4
Asia,7
Al ‘Irāq,6
Aral,
Syrian Arab Republic,13
State of Rājasthān,2
Republic of Ghana,2
Inera,
Pyrénées Orientales,
Sanaa,2
Fergana,2
United States,2
Hinoba-an,3
Republic of Zimbabwe,4
Moscow,
El Karak,
State of Karnātaka,8
Lebanon,3
Kurnool,6
Islamic Republic of Iran,9
Jaisalmer,3
Naryn,2
Al Yaman,
Laḩij,
Republic of Malawi,
West Region,
Delhi,3
Madurai,
Kingdom of Belgium,
Al Yābān,
People’s Democratic Republic of Algeria,4
Daraa Governorate,
Almāniyā,
Bijapur,6
Dushanbe,
Republic of Kenya,6
West African Fruit Company,
Japan,
Sahel,4
Kano State,4
Salsola,
Republic of Mali,3
Hashemite Kingdom of Jordan,24
Inhassoro,
Italy,
Karakalpakstan,2
Badia - Abtei,
Islamic Republic of Afghanistan,
Jordan,2
State of Andhra Pradesh,12
Republic of Tajikistan,6
Muḩāfaz̧at ash Sharqīyah,
Kingdom of the Netherlands,
Republic of Mozambique,5
Republic of Angola,3
Kingdom of Morocco,25
West Asia Hotel Shanghai,25
Presbyterian Church of East Africa,2
Al Maghrib,30
Jodhpur,3
Commonwealth of Australia,
Meknes,2
New York,
Mountain Province,
Sūriyā,4
State of Tamil Nādu,
Federal Republic of Germany,
Al Majar,
Lilongwe,
Eastern Africa,
South Wazīristān Agency,
State of Kuwait,
Central Asia,13
Hawlandā,
Turkmenistan,
Algiers,
Al Karak,3
Villasanta,
Ilha de Moçambique,
Gemeente Wageningen,
Al Maghrab,4
Patancheru,
Aden,2
Federal Democratic Republic of Ethiopia,2
United Republic of Tanzania,2
Ḩajjah,
Republic of Yemen,5
Republic of Uzbekistan,4
Arab Republic of Egypt,10
Daşoguz,
Adair County,
Republic of Iraq,5
Federal Republic of Nigeria,3
Rūdkhāneh-ye Karkheh Nūr,2
People’s Republic of China,
Mahdia,11
Bārmer,3
Aral Sea,3
