country,no
Estaleiro Itajaí South America,
Federative Republic of Brazil,4
Warsaw,
Amazonas,
Republic of Indonesia,3
Latin America Lutheran Church,2
Europe,
Republic of Mali,
Kyrgyz Republic,
África,3
Socialist Republic of Vietnam,2
Republic of Tajikistan,
Southeast Asia,
Asia,2
Republic of Mozambique,2
South East Asia,
Congo Basin,2
Republic of Angola,
Republic of Nicaragua,
Gabonese Republic,2
Lao People’s Democratic Republic,2
Republic of Ghana,
Mekong,3
Union of Burma,
Eastern Africa,2
Central Asia,
Malaysia,
Republic of Cameroon,3
Taman South East Asia,
Republic of Malawi,
China,
Playa de las Américas,2
Republic of Zambia,2
Republic of Peru,2
Federal Democratic Republic of Ethiopia,
United Republic of Tanzania,2
Burkina Faso,
Republic of Uzbekistan,
Central Africa,
Latin America and the Caribbean,
Republic of Guatemala,
Mahdia,3
People’s Republic of China,
Republic of Uganda,
Republic of Colombia,2
Malay Archipelago,
Central America,2
Republic of Kenya,
Sahel,
