country,no
Republic of Madagascar,
Latin America Lutheran Church,5
Republic of Indonesia,5
‘Aslān,
Plurinational State of Bolivia,
África,11
Republic of Panama,
Socialist Republic of Vietnam,10
Senegal,
Republic of Burundi,4
Republic of India,15
Asia,12
Southeast Asia,3
Narail,
Portuguese Republic,2
Republic of Mozambique,
Bangladesh,16
African Union Bethel Church (historical),
Republic of Angola,4
Republic of Nicaragua,
West Asia Hotel Shanghai,
Al Maghrib,
Commonwealth of Australia,2
Republic of Ghana,
Canada,2
Republic of Chad,
Taman Asean,
State of Odisha,
Suwīsrā,
Banghlādish,2
United States,
Academia,
Indūnīsiyā,
Roppa,
Hinoba-an,2
Republic of Turkey,2
Federal Republic of Germany,2
Union of Burma,3
Republic of Benin,4
Kingdom of Cambodia,5
Bolivarian Republic of Venezuela,
Islamic Republic of Iran,
Sātkhira,
Khulna,
Malaysia,2
Federal Democratic Republic of Nepal,
Republic of Cameroon,2
Republic of Ecuador,
Central America Mine,
Central African Republic,
Bāgherhāt,
Republic of Peru,
State of Uttar Pradesh,
Gambia,2
United Republic of Tanzania,
Republic of France,4
Al Yābān,
Republic of Costa Rica,
South America,
Swiss Confederation,
Latin America and the Caribbean,8
Cotonou,
Republic of Singapore,2
Al Filibbīn,4
Federal Republic of Nigeria,
Republic of the Philippines,6
Almāniyā,
People’s Republic of China,2
Mahdia,14
