country,no
Chania,2
Gujī Terara,
Thika,
Republic of Senegal,
Tunisian Republic,4
Gumrāh Kas,
Democratic Republic of the Congo,4
Republic of India,35
Tigris,
Embu,
Asia,
Bangladesh,7
Syrian Arab Republic,2
Republic of South Africa,9
Niger,
Kingdom of Lesotho,
Republic of Ghana,5
Inera,
Mexico,
Kūriyā,2
Kisii,
State of Odisha,
Marawī,
Madagascar,
România,
United States,2
Kingdom of Swaziland,
Shenzhen,
Republic of Zimbabwe,16
State of Bihār,
State of Karnātaka,4
Lebanon,3
Ireland,
Republic of Benin,5
State of Eritrea,
Islamic Republic of Iran,
Republic of Niger,3
State of Mahārāshtra,2
Republic of Malawi,21
Republic of the Sudan,8
Burkina Faso,
Hasanbey,2
Hyderabad,
Glazoué,
Kawanda,
Delhi,
People’s Democratic Republic of Algeria,2
Bihār,
Georgia,2
Republic of Kenya,29
Japan,
Bangalore,
Republic of Madagascar,10
Latin America Lutheran Church,3
Europe,
Republic of Mali,14
Hashemite Kingdom of Jordan,2
India,
Seattle,3
State of Andhra Pradesh,5
Karagul,2
Republic of Burundi,22
Republic of Mozambique,7
Eastern Province,
State of Gujarāt,
Republic of Angola,2
Kingdom of Morocco,8
West Asia Hotel Shanghai,2
Republic of Rwanda,20
Al Maghrib,3
Hamadān,
State of Madhya Pradesh,2
Striga,
Togolese Republic,2
Islamic Republic of Pakistan,
Bozok,
Republic of Turkey,6
Lubumbashi,2
Bergen auf Rügen,
State of Kuwait,
Hawlandā,
Brahmapur,
Āgra,
Australia,
Republic of Cameroon,12
Al Maghrab,
Republic of Zambia,18
Kakamega,
Federal Democratic Republic of Ethiopia,29
United Republic of Tanzania,23
Republic of Yemen,
Arab Republic of Egypt,5
Central Africa,
Pend Oreille County,
Republic of Iraq,
Al Filibbīn,
Federal Republic of Nigeria,9
Republic of the Philippines,
Mahdia,5
People’s Republic of China,2
Republic of Uganda,19
Republic of Colombia,
