country,no
Naivasha,
Field,
Saint Lucia Island,
Latin America Lutheran Church,
Federal Republic of Germany,
Nicarágua,
Socialist Republic of Vietnam,6
Democratic Republic of the Congo,2
Ibadan,
Republic of Cameroon,3
Asia,2
Central America Mine,3
Tonkin,
Hanoi,
Federal Democratic Republic of Ethiopia,
Republic of Angola,3
Republic of Nicaragua,5
Republic of Rwanda,6
Central Africa,7
Tamu,
Republic of Ghana,
Feldafing,
Latin America and the Caribbean,
Mekong,
Federal Republic of Nigeria,
Mahdia,4
Republic of Uganda,3
West African Fruit Company,
Caribbean Gardens,3
Republic of Kenya,3
Central America,
