country,no
Federative Republic of Brazil,
Jessore,
Mukono,2
Tỉnh Đắk Lắk,
Tunisian Republic,3
Socialist Republic of Vietnam,7
Atsbi Wonberta,
Gualaca,
Ratanakiri,
Republic of India,27
Ibadan,
Cayman Islands,
Bangladesh,18
Punjab,
United Kingdom of Great Britain and Northern Ireland,3
Republic of Nicaragua,14
State of Uttarakhand,
Kedah,3
Mvomero,
Republic of Ghana,
Republic of Honduras,
Tigray Kifle Hāger,2
Mexico,
State of Odisha,2
Kisumu,
Kampong Cham,
United States,2
Republic of Zimbabwe,2
Kingdom of Sweden,
East Coast Statistical Area,3
State of Bihār,3
Kingdom of Cambodia,
Bolivarian Republic of Venezuela,
Beheira Governorate,5
Attapu,
Laikipia,
Lushoto,
Malaysia,5
Dodoma,2
Republic of Malawi,4
Masaka,4
Sydney,
Republic of the Sudan,
Burkina Faso,
Khouèng Xékong,
Hyderabad,
Narok,
Antwerpen,
Oromiya Region,4
Kingdom of Belgium,
Republic of Costa Rica,
Departamento del Valle del Cauca,
Machakos,
Central America,3
Republic of Kenya,18
Handeni,
Latin America Lutheran Church,
Republic of Mali,3
África,
Republic of Panama,2
Republic of El Salvador,
Llanos Orientales,
Muḩāfaz̧at ash Sharqīyah,4
Republic of Mozambique,5
Tanga,4
Republic of Angola,
Republic of Rwanda,
Kampala,2
Commonwealth of Australia,4
Amhara Region,
Lao People’s Democratic Republic,3
Grande Região Sudeste,
Wakiso,
Islamic Republic of Pakistan,
Jessore District,2
Saint Lucia Island,
Nueva Guinea,
Nakuru,
Lilongwe,2
Jinja,
Jitra,3
Khouèng Savannakhét,
Somalia,
Atlantic,
Departamento del Cauca,2
Kakamega,
Federal Democratic Republic of Ethiopia,25
Boaco,2
United Republic of Tanzania,32
Kajiado,
Republic of Vanuatu,
Uganda,2
Arab Republic of Egypt,25
Central Africa,
Kongwa,
Morogoro Region,6
Rift Valley Province,
Farīdpur,
Kafr,
Rõhu,
Ho Chi Minh City,
Republic of Guatemala,
Federal Republic of Nigeria,2
Al Fayyūm,3
Republic of Uganda,26
Republic of Colombia,5
