country,no
Naivasha,2
Federative Republic of Brazil,
Latin America Lutheran Church,3
Plurinational State of Bolivia,
Republic of Mali,
Republic of Austria,2
África,7
Socialist Republic of Vietnam,4
Republic of India,9
Ibadan,
Asia,5
Bangladesh,4
Republic of Mozambique,7
Eastern Province,
Republic of Angola,3
United Kingdom of Great Britain and Northern Ireland,2
Republic of Rwanda,
Kathmandu,2
Commonwealth of Australia,3
Republic of South Africa,5
Republic of Ghana,6
Mexico,16
Canada,2
Kingdom of Norway,2
Grande Região Sudeste,2
Kisumu,
United States,8
Dornod Aymag,
Republic of Zimbabwe,14
Hinoba-an,
Federal Republic of Germany,2
State of Bihār,4
Eastern Africa,2
Republic of Benin,
Nepal,
Dona América,
Āgra,3
Maboko,
Federal Democratic Republic of Nepal,13
Ganadería,
Republic of Malawi,15
Central America Mine,
Republic of Zambia,8
Federal Democratic Republic of Ethiopia,17
United Republic of Tanzania,11
Central Africa,2
Latin America and the Caribbean,2
Republic of Singapore,
Republic of Guatemala,2
Republic of the Philippines,2
Federal Republic of Nigeria,8
Mahdia,25
People’s Republic of China,
Colômbia,
Republic of Uganda,7
Republic of Colombia,3
Republic of Kenya,41
