country,no
Adriaan Geerts Wildervanckkanaal,2
Federative Republic of Brazil,2
Wasco,
Republic of Indonesia,8
Estrades,
Kyrgyz Republic,
Westhoek,
Republic of Senegal,2
Tunisian Republic,
Socialist Republic of Vietnam,3
Republic of India,19
Kachié,
Asia,7
Bangladesh,18
State of Israel,
Bhimdatta N.P.,
Gemeente Noordwijk,
Huancayo,
Republic of South Africa,
Benin City,
Niger,2
Provinsi Jambi,
Republic of Ghana,13
Republic of Honduras,
Canada,2
Bangkok,
Looney,
Terfa Shet’,
Middle East Hotel,
United States,19
Bākistān,2
Bujumbura Mairie Province,
Republic of Zimbabwe,
Democratic Socialist Republic of Sri Lanka,
Hinoba-an,
Kosyets,
Union of Burma,2
Minot,2
State of Bihār,
Ireland,
Eu,2
Republic of Benin,2
Kingdom of Cambodia,6
Ayukasa,2
State of Eritrea,
Republic of Sierra Leone,2
Federal Democratic Republic of Nepal,4
Republic of Liberia,
Republic of Ecuador,5
Republic of Malawi,7
Republic of the Sudan,
Washington,2
Baile Átha Cliath,
Kolady Kulam,
Swiss Confederation,
Deyang Bus Station,
Republic of Kenya,5
Los Baños,
Esteban Agustín Gascón,
‘Aslān,
Dokdo,
Plurinational State of Bolivia,6
Republic of Mali,2
Florida,
África,3
Italy,
Republic of El Salvador,
Brussels,
Las Palmas de Gran Canaria,
Republic of Burundi,
Şaḩārá,
Republic of Tajikistan,
Kingdom of the Netherlands,
Republic of Mozambique,4
African Union Bethel Church (historical),
Dakar,
Accra,2
Republic of Angola,2
Kingdom of Morocco,3
Germa,2
Republic of Rwanda,2
Panamá,
Al Maghrib,
M.S. Garcia,
Kampala,
Commonwealth of Australia,
Togolese Republic,
Ntare,
Kingdom of Norway,
Paris,
Adolfo E. Carranza,
Islamic Republic of Pakistan,8
Indūnīsiyā,
Repubblica Italiana,3
Federal Republic of Germany,2
Pofi,
"Washington, D. C.",5
Nicarágua,
Provinsi Bali,
Lilongwe,2
Addis Ababa,
Bolivia,
Snook Eddy,
Concord,
Kīnyā,2
Khlong Ko Mo Yi Sip Et,2
Āgra,
Republic of Cameroon,
Al Maghrab,
Republic of Zambia,
Idah,
Dorosh Lake,2
Federal Democratic Republic of Ethiopia,26
Republic of Peru,11
United Republic of Tanzania,11
Republic of Yemen,3
Republic of France,2
Arab Republic of Egypt,
Uganda,2
Jabal al Ḩammāmāt,
Meerut Airport,
District of Columbia,3
State of South Australia,
Latin America and the Caribbean,
Republic of Guatemala,2
Belgium,
Federal Republic of Nigeria,11
Republic of the Philippines,2
Kingdom of Thailand,2
Île Bouët,
Mahdia,19
Colômbia,
People’s Republic of China,11
Provincia di Roma,
Republic of Uganda,10
Republic of Colombia,
Los Angeles,
Departamento de Nariño,
