country,no
Naivasha,
Estaleiro Itajaí South America,
Federative Republic of Brazil,2
Wasco,
Republic of Madagascar,2
Latin America Lutheran Church,2
State of Kerala,
Plurinational State of Bolivia,3
Stellenbosch,2
Republic of Austria,
África,4
Republic of Panama,
Socialist Republic of Vietnam,3
Republic of Burundi,4
Democratic Republic of the Congo,4
Republic of Tajikistan,6
Republic of India,2
Zâmbia,
Ibadan,2
Southeast Asia,
Asia,4
Republic of Mozambique,4
Bangladesh,10
Nairobi,
Accra,2
Republic of Angola,
Shanghai,
Republic of Nicaragua,3
Republic of Rwanda,3
Thiruvananthapuram,
Commonwealth of Australia,
Republic of South Africa,2
Inera,
Scotland,
Republic of Ghana,6
Caribbean Gardens,2
South West,
United States,6
Repubblica Italiana,
Dornod Aymag,
Democratic Socialist Republic of Sri Lanka,2
Hinoba-an,3
Bujumbura Mairie Province,2
Republic of Haiti,
León,2
Kingdom of Cambodia,
Cavendish,
Ruhengeri Province,
Central Asia,
Āgra,
Ilha de Moçambique,2
Taman South East Asia,
Republic of Cameroon,2
Republic of Ecuador,7
Sigatoka,
Republic of Malawi,7
Playa de las Américas,2
Republic of Zambia,7
Kingdom of Bhutan,2
Federal Democratic Republic of Ethiopia,13
Republic of Peru,14
United Republic of Tanzania,15
Republic of Uzbekistan,2
Republic of France,6
Uganda,3
Central Africa,
Duitama,2
Américas Park,2
Kingdom of Belgium,
Republic of Costa Rica,
Latin America and the Caribbean,
Federal Republic of Nigeria,8
Republic of the Philippines,2
Kingdom of Thailand,4
Mahdia,9
People’s Republic of China,4
Republic of Uganda,12
Republic of Colombia,13
Republic of Kenya,15
Republic of Finland,
Arusha,
