country,no
Us,
Kirovskiy,
State of Haryāna,4
Pavone Canavese,
Europe,
Hashemite Kingdom of Jordan,
África,
Kingdom of Spain,2
Tunisian Republic,3
Islamic Republic of Afghanistan,4
Republic of India,27
Republic of Tajikistan,2
Asia,
Kolkata,
Bangladesh,9
Eastern Province,2
Accra,
Syrian Arab Republic,2
United Kingdom of Great Britain and Northern Ireland,4
Kingdom of Morocco,3
West Asia Hotel Shanghai,2
Turkey,
Al Maghrib,
State of Madhya Pradesh,
Commonwealth of Australia,5
Mexico,21
Afghānistān,
Paris,2
Banghlādish,
Volga,
Islamic Republic of Pakistan,8
United States,10
Kingdom of Denmark,2
Bākistān,
Beijing Shi,
Republic of Zimbabwe,2
Hinoba-an,
Democratic Socialist Republic of Sri Lanka,
Republic of Turkey,18
Federal Republic of Germany,3
"Washington, D. C.",
Lebanon,6
State of Bihār,4
State of Kuwait,
Islamic Republic of Iran,
Central Asia,2
Colombo District,
Caucasus Mountains,2
Kīnyā,
Hawlandā,
Turkmenistan,2
Republic of Kazakhstan,5
Federal Democratic Republic of Nepal,5
Glasgow,2
Bi’r al Usayd,2
Republic of Zambia,
Republic of the Sudan,5
Kingdom of Bhutan,
Federal Democratic Republic of Ethiopia,17
State of Uttar Pradesh,
Grande Região Sul,
United Republic of Tanzania,3
Republic of Yemen,2
Republic of France,
Republic of Uzbekistan,6
Wuzhong Qu,
Gongli,
Arab Republic of Egypt,
Central Africa,2
Arcadia,
People’s Democratic Republic of Algeria,3
Republic of Iraq,
District of Columbia,
Usg Number One Tank,
Republic of the Philippines,2
Federal Republic of Nigeria,4
Mahdia,10
People’s Republic of China,11
Republic of Kenya,3
Japan,2
