country,no
Amazonas,
Gondar,
Dhaka,
Wajir,
State of West Bengal,
Mertī,
Tunisian Republic,4
Socialist Republic of Vietnam,9
Nile Basin Initiative - Office of the Secretariat,
Cuba Cuba,2
Limpopo,2
Democratic Republic of the Congo,9
Republic of India,24
Southeast Asia,
Asia,
Bangladesh,9
Syrian Arab Republic,
Ganges,
Republic of South Africa,8
Republic of Ghana,6
Inera,2
Faransā,
Mexico,
Mekong,6
Kanton Zürich,
United States,3
Kingdom of Swaziland,
Bākistān,2
Republic of Zimbabwe,13
Democratic Socialist Republic of Sri Lanka,10
Katsina State,
Kingdom of Sweden,2
Union of Burma,3
State of Karnātaka,3
State of Bihār,
Tāylānd,9
Kingdom of Cambodia,
Republic of Sierra Leone,2
Malaysia,2
Federal Democratic Republic of Nepal,2
Republic of Chile,2
Republic of Ecuador,3
Republic of Malawi,2
Republic of the Sudan,4
Gwanda,
Hyderabad,
Berkeley,
Susumwa,
Al Yābān,
Republic of Kenya,18
Taiwan,
Bangalore,
Latin America Lutheran Church,2
Plurinational State of Bolivia,2
Republic of Mali,2
Hashemite Kingdom of Jordan,3
África,4
Italy,3
State of Andhra Pradesh,
Republic of Mozambique,3
Mekong River,
Kingdom of the Netherlands,2
Eastern Province,
Accra,3
Republic of Angola,
Republic of Guinea,
Republic of Paraguay,2
Kampala,
Commonwealth of Australia,2
Lao People’s Democratic Republic,2
New York,
Kwara State,
Janūb Afrīqiyā,7
African Lake,
Volta,2
Banghlādish,3
Islamic Republic of Pakistan,2
Marriott West India Quay,
Colombo District,
Kīnyā,
Srilānkā,2
Hawlandā,
Āgra,2
Muḩāfaz̧at `Ammān,
Hanoi,3
Federal Democratic Republic of Ethiopia,22
Republic of Peru,7
United Republic of Tanzania,13
Republic of Uzbekistan,2
Republic of France,3
Manila,
Lima,
Central Africa,
Uganda,2
Latin America and the Caribbean,
Al Filibbīn,
Kumasi,
Federal Republic of Nigeria,6
Kingdom of Thailand,2
Mahdia,10
People’s Republic of China,4
Republic of Uganda,4
Republic of Colombia,11
Republic of Finland,
