COUNTRY,A4NH,AAS,CCAFS,Dryland Cereals,Dryland Systems,FTA,GRiSP,Grain Legumes,Humid Tropics,Livestock and Fish,Maize,PIM,RTB,WLE,Wheat
Afghanistan,,,,2.0,2.0,,,,,,,,,,5.0
Algeria,,,,,5.0,,,2.0,,,,,,,3.0
Angola,1.0,,5.0,,3.0,1.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,
Argentina,,8.0,,,,,,,,,,1.0,,,
Australia,1.0,10.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0,3.0,2.0,5.0
Austria,,,,,1.0,,,,,,2.0,,1.0,,
Azerbaijan,,,,1.0,,,,,,,,,,,
Bangladesh,5.0,68.0,5.0,,1.0,,22.0,7.0,,22.0,4.0,18.0,10.0,13.0,10.0
Belgium,,2.0,,,1.0,,,,,2.0,,3.0,1.0,,
Belize,,,,,,,,,,,,1.0,,,
Benin,,,,,,,4.0,6.0,,,1.0,3.0,,,
Bhutan,,,,,,,,,,,,,2.0,,1.0
Bolivia,,,1.0,,,,1.0,,,,1.0,7.0,3.0,2.0,
Brazil,2.0,,1.0,1.0,1.0,4.0,,,,2.0,3.0,2.0,2.0,,1.0
Burkina Faso,,,1.0,2.0,,1.0,,1.0,,1.0,,,,,
Burundi,,,,,,,4.0,22.0,,,,2.0,6.0,,
Cambodia,,64.0,,,,,5.0,,,3.0,,6.0,1.0,1.0,
Cameroon,,,,,,3.0,2.0,12.0,3.0,,,1.0,2.0,,
Canada,,,,,,,2.0,,,,2.0,4.0,,,
Central Africa Republic,,,,,,,1.0,,,,,,,,
Chad,,,,,,,1.0,,,,,,,,
Chile,,,,2.0,,,,,,,,,,2.0,
China,,,2.0,1.0,26.0,2.0,3.0,5.0,,,1.0,12.0,5.0,4.0,15.0
Colombia,,,23.0,,,2.0,,1.0,,9.0,4.0,3.0,15.0,11.0,
Costa Rica,,,,,,,1.0,,,1.0,,,1.0,,
Cotonou,,,,,,,1.0,,,,,,,,
Democratic Republic of Congo,,,,,,,,6.0,2.0,,,,4.0,9.0,
Denmark,,1.0,1.0,,,,,,,,,,,,2.0
Ecuador,,,,,,,1.0,,,,,5.0,7.0,3.0,
Egypt,,,1.0,2.0,11.0,,,5.0,,33.0,,1.0,,,1.0
El Salvador,,,,,,,,,,1.0,,1.0,,,
Eritrea,,,,2.0,,,,1.0,,,,1.0,,,
Ethiopia,5.0,,9.0,10.0,2.0,1.0,,30.0,1.0,30.0,17.0,28.0,13.0,24.0,17.0
Fiji,,,,,,,,,,,,,1.0,,
Finland,,,1.0,,,,,,,,,,1.0,1.0,
France,,1.0,2.0,2.0,1.0,,4.0,,,,,3.0,6.0,4.0,3.0
Gabon,,,,,,2.0,,,,,,,,,
Gambia,,,,,,,2.0,,,,,,,,
Georgia,,,,,,,,2.0,,,,,,,
Germany,,2.0,3.0,1.0,1.0,,2.0,1.0,2.0,,2.0,2.0,,,3.0
Ghana,1.0,4.0,3.0,,2.0,1.0,1.0,5.0,1.0,1.0,6.0,15.0,8.0,10.0,1.0
Greece,,,,,,,,3.0,,,,,,,
Guatemala,,,,,,1.0,,,,1.0,2.0,2.0,,,
Guinea,,,,,,,,,,1.0,,,,1.0,
Guyana,,1.0,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,1.0,,
Honduras,,,,,,,,,,1.0,,1.0,,,
India,9.0,,14.0,45.0,78.0,,17.0,58.0,,34.0,16.0,22.0,5.0,33.0,38.0
Indonesia,,5.0,,,,3.0,6.0,,,,,11.0,,,
Iran,2.0,,,2.0,21.0,,2.0,2.0,,,,1.0,,,1.0
Iraq,,,,,11.0,,,1.0,,,,,,,1.0
Ireland,,,1.0,,,,,1.0,,,,2.0,,,
Israel,,,,,,,,,,,,1.0,,,
Italy,,5.0,,,3.0,,,,,,,6.0,1.0,3.0,1.0
Ivory Coast,,,,,,,,,,,,2.0,,,
Japan,,,,,4.0,,,1.0,,,,,,,2.0
Jordan,,,,,30.0,,,2.0,,,,,,3.0,1.0
Kazakhstan,,,,1.0,,,,,,,,,,,5.0
Kenya,8.0,2.0,19.0,10.0,8.0,1.0,,33.0,4.0,26.0,44.0,7.0,17.0,20.0,4.0
Kuwait,,,,,2.0,,,1.0,,,,,,,1.0
Kyrgyzstan,,,,,7.0,1.0,,,,,,1.0,,,
Laos,,,,,,2.0,,,,4.0,,,,2.0,
Lebanon,,,,1.0,3.0,,,3.0,,,,,,,6.0
Lesotho,,,,,,,,1.0,,1.0,,,,,
Liberia,,,1.0,,,,,,,,,1.0,,,
Libya,,,,,,,,,,,,2.0,,,
Lithuania,,2.0,,,,,,,,,,,,,
Madagascar,,,,,,,1.0,11.0,,,,,2.0,,
Malawi,,2.0,1.0,,2.0,1.0,,21.0,,6.0,15.0,9.0,7.0,2.0,
Malaysia,,26.0,,,,1.0,3.0,,,11.0,,,,2.0,
Mali,1.0,,1.0,13.0,3.0,1.0,,14.0,,3.0,1.0,2.0,,2.0,
Mexico,,,,2.0,,,,1.0,,1.0,16.0,,,1.0,21.0
Mongolia,,,,,,,,,,,1.0,,1.0,,
Morocco,,,,7.0,27.0,,,8.0,,,,3.0,,,3.0
Mozambique,1.0,1.0,6.0,3.0,7.0,2.0,1.0,7.0,,5.0,7.0,4.0,6.0,3.0,
Myanmar,,3.0,,,,1.0,3.0,,,,,2.0,,3.0,
Nepal,,3.0,10.0,,,,1.0,,,,16.0,5.0,,2.0,5.0
Netherlands,1.0,,2.0,,2.0,,,,,,,2.0,,2.0,
Nicaragua,1.0,,5.0,,,1.0,1.0,,6.0,16.0,,1.0,3.0,,
Niger,,,1.0,5.0,,,,4.0,,,,2.0,,,
Nigeria,3.0,,1.0,7.0,7.0,,1.0,9.0,2.0,3.0,9.0,12.0,10.0,8.0,4.0
Norway,,,,,,,,,,,2.0,1.0,,,
Pakistan,,,3.0,,,,,2.0,,1.0,,8.0,,2.0,8.0
Palestine,,,,,4.0,,,,,,,,,,
Panama,,,,,,,1.0,,,3.0,,1.0,1.0,,
Paraguay,,,,,,,,,,,,,,2.0,
Peru,,,1.0,3.0,,2.0,1.0,,,,,12.0,14.0,8.0,
Philippines,1.0,12.0,2.0,,3.0,,8.0,1.0,,,3.0,4.0,5.0,1.0,3.0
Poland,,,1.0,,,1.0,,,,,,,,,
Portugal,,,,,,,2.0,,,,,,,,
Romania,,,,,,,,1.0,,,,,,,
Russia,,,1.0,1.0,2.0,,,,,,,1.0,,,2.0
Rwanda,,,,,,,,20.0,6.0,1.0,1.0,2.0,4.0,,
Saint Lucia,1.0,,,,,,,,1.0,1.0,,,,,
Saudi Arabia,,,1.0,,1.0,,,,,,,,,,2.0
Scotland,,,,,,,,,,,,,1.0,,2.0
Senegal,1.0,,11.0,4.0,,,1.0,1.0,,,,3.0,,,
Sierra Leone,,,,,,,,,,,,2.0,,2.0,
Singapore,,,,,,,2.0,,,,1.0,,,,
Solomon Islands,,15.0,,,,,,,,,,,,,
Somalia,,,,,,,,,,1.0,,,,,
South Africa,,,2.0,,,,,9.0,,,5.0,1.0,4.0,10.0,
Spain,,,,,,,,,,,,1.0,,,2.0
Sri Lanka,,3.0,1.0,,,,,,,,,2.0,2.0,12.0,1.0
Sudan,,,3.0,4.0,,,,8.0,,1.0,,1.0,,4.0,5.0
