COUNTRY,Dryland Cereals 2012 Report,Dryland Cereals 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Afghanistan,0,1,1,,,,,
Australia,0,1,1,,,,,
Azerbaijan,0,1,1,,,,,
Brazil,0,1,1,,,,,
Burkina Faso,0,1,1,,,,,
Chile,0,1,1,,,,,
China,0,1,1,,,,,
Egypt,0,1,1,,,,,
Eritrea,0,1,1,,,,,
Ethiopia,1,1,1,,,,,
France,0,1,1,,,,,
Germany,0,1,1,,,,,
India,1,1,1,,,,,
Iran,1,1,1,,,,,
Kazakhstan,0,1,1,,,,,
Kenya,1,1,1,,,,,
Lebanon,0,1,1,,,,,
Mali,1,1,1,,,,,
Mexico,0,1,1,,,,,
Morocco,1,1,1,,,,,
Mozambique,0,1,1,,,,,
Niger,1,1,1,,,,,
Nigeria,1,1,1,,,,,
Peru,0,1,1,,,,,
Russia,0,1,1,,,,,
Senegal,0,1,1,,,,,
Sudan,1,1,1,,,,,
Syria,1,1,1,,,,,
Tanzania,1,1,1,,,,,
Tunisia,0,1,1,,,,,
Turkey,0,1,1,,,,,
UK,0,1,1,,,,,
USA,0,1,1,,,,,
Uganda,1,1,1,,,,,
United Arab Emirates,0,1,1,,,,,
Uzbekistan,0,1,1,,,,,
