COUNTRY,Dryland Systems 2012 Report,Dryland Systems 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Afghanistan,0,1,1,,,,,
Algeria,1,1,1,,,,,
Angola,0,1,1,,,,,
Australia,0,1,1,,,,,
Austria,0,1,1,,,,,
Bangladesh,0,1,1,,,,,
Belgium,0,1,1,,,,,
Brazil,0,1,1,,,,,
China,1,1,1,,,,,
Egypt,1,1,1,,,,,
Eritrea,1,0,1,,,,,
Ethiopia,1,1,1,,,,,
France,0,1,1,,,,,
Germany,0,1,1,,,,,
Ghana,1,1,1,,,,,
India,1,1,1,,,,,
Iran,1,1,1,,,,,
Iraq,1,1,1,,,,,
Italy,0,1,1,,,,,
Japan,0,1,1,,,,,
Jordan,1,1,1,,,,,
Kazakhstan,1,0,1,,,,,
Kenya,1,1,1,,,,,
Kuwait,0,1,1,,,,,
Kyrgyzstan,1,1,1,,,,,
Lebanon,0,1,1,,,,,
Malawi,1,1,1,,,,,
Mali,1,1,1,,,,,
Morocco,1,1,1,,,,,
Mozambique,0,1,1,,,,,
Netherlands,0,1,1,,,,,
Nicaragua,1,0,1,,,,,
Nigeria,1,1,1,,,,,
Pakistan,1,0,1,,,,,
Palestine,0,1,1,,,,,
Philippines,1,1,1,,,,,
Russia,0,1,1,,,,,
Saudi Arabia,0,1,1,,,,,
South Korea,1,0,1,,,,,
Sudan,1,0,1,,,,,
Syria,0,1,1,,,,,
Tajikistan,1,1,1,,,,,
Tanzania,0,1,1,,,,,
Tunisia,1,1,1,,,,,
Turkmenistan,1,1,1,,,,,
USA,0,1,1,,,,,
United Arab Emirates,1,1,1,,,,,
Uzbekistan,1,1,1,,,,,
Yemen,0,1,1,,,,,
Zambia,1,0,1,,,,,
Zimbabwe,0,1,1,,,,,
