COUNTRY,FTA 2012 Report,FTA 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Angola,0,1,1,,,,,
Australia,0,1,1,,,,,
Bangladesh,1,0,1,,,,,
Benin,1,0,1,,,,,
Bhutan,1,0,1,,,,,
Bolivia,1,0,1,,,,,
Brazil,1,1,1,,,,,
Burkina Faso,1,1,1,,,,,
Cameroon,1,1,1,,,,,
China,1,1,1,,,,,
Colombia,1,1,1,,,,,
Costa Rica,1,0,1,,,,,
Ecuador,1,0,1,,,,,
Ethiopia,1,1,1,,,,,
Fiji,1,0,1,,,,,
Gabon,1,1,1,,,,,
Ghana,0,1,1,,,,,
Guatemala,1,1,1,,,,,
Guinea,1,0,1,,,,,
Honduras,1,0,1,,,,,
India,1,0,1,,,,,
Indonesia,1,1,1,,,,,
Ivory Coast,1,0,1,,,,,
Kazakhstan,1,0,1,,,,,
Kenya,1,1,1,,,,,
Kyrgyzstan,1,1,1,,,,,
Laos,1,1,1,,,,,
Madagascar,1,0,1,,,,,
Malawi,1,1,1,,,,,
Malaysia,1,1,1,,,,,
Mali,0,1,1,,,,,
Mexico,1,0,1,,,,,
Mozambique,1,1,1,,,,,
Myanmar,0,1,1,,,,,
Nepal,1,0,1,,,,,
Nicaragua,1,1,1,,,,,
Niger,1,0,1,,,,,
Nigeria,1,0,1,,,,,
North Korea,1,0,1,,,,,
Peru,1,1,1,,,,,
Philippines,1,0,1,,,,,
Poland,0,1,1,,,,,
Republic of Congo,1,0,1,,,,,
Rwanda,1,0,1,,,,,
Samoa,1,0,1,,,,,
Senegal,1,0,1,,,,,
South Africa,1,0,1,,,,,
Sri Lanka,1,0,1,,,,,
Sudan,1,0,1,,,,,
Swaziland,1,0,1,,,,,
Tajikistan,1,1,1,,,,,
Tanzania,1,1,1,,,,,
Trinidad and Tobago,1,0,1,,,,,
Tunisia,0,1,1,,,,,
Uganda,1,1,1,,,,,
Uzbekistan,1,1,1,,,,,
Vietnam,1,1,1,,,,,
Zambia,1,1,1,,,,,
Zimbabwe,1,0,1,,,,,
