COUNTRY,GRiSP 2012 Report,GRiSP 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Angola,0,1,1,,,,,
Argentina,1,0,1,,,,,
Australia,1,1,1,,,,,
Bangladesh,1,1,1,,,,,
Belgium,1,0,1,,,,,
Benin,1,1,1,,,,,
Bhutan,1,0,1,,,,,
Bolivia,1,1,1,,,,,
Brazil,1,0,1,,,,,
Burkina Faso,1,0,1,,,,,
Burundi,1,1,1,,,,,
Cambodia,1,1,1,,,,,
Cameroon,1,1,1,,,,,
Canada,0,1,1,,,,,
Central Africa Republic,1,1,1,,,,,
Chad,1,1,1,,,,,
Chile,1,0,1,,,,,
China,1,1,1,,,,,
Colombia,1,0,1,,,,,
Costa Rica,1,1,1,,,,,
Cotonou,0,1,1,,,,,
Democratic Republic of Congo,1,0,1,,,,,
Dominican Republic,1,0,1,,,,,
Ecuador,1,1,1,,,,,
Egypt,1,0,1,,,,,
Ethiopia,1,0,1,,,,,
France,1,1,1,,,,,
Gabon,1,0,1,,,,,
Gambia,1,1,1,,,,,
Germany,1,1,1,,,,,
Ghana,1,1,1,,,,,
Guatemala,1,0,1,,,,,
Guinea,1,0,1,,,,,
Guinea Bissau,1,0,1,,,,,
Guyana,1,0,1,,,,,
Honduras,1,0,1,,,,,
India,1,1,1,,,,,
Indonesia,1,1,1,,,,,
Iran,1,1,1,,,,,
Iraq,1,0,1,,,,,
Italy,1,0,1,,,,,
Ivory Coast,1,0,1,,,,,
Japan,1,0,1,,,,,
Kazakhstan,1,0,1,,,,,
Kenya,1,0,1,,,,,
Kyrgyzstan,1,0,1,,,,,
Laos,1,0,1,,,,,
Liberia,1,0,1,,,,,
Madagascar,1,1,1,,,,,
Malaysia,1,1,1,,,,,
Mali,1,0,1,,,,,
Mauritania,1,0,1,,,,,
Mexico,1,0,1,,,,,
Mozambique,1,1,1,,,,,
Myanmar,1,1,1,,,,,
Nepal,1,1,1,,,,,
Netherlands,1,0,1,,,,,
Nicaragua,1,1,1,,,,,
Niger,1,0,1,,,,,
Nigeria,1,1,1,,,,,
Pakistan,1,0,1,,,,,
Panama,1,1,1,,,,,
Peru,1,1,1,,,,,
Philippines,1,1,1,,,,,
Portugal,0,1,1,,,,,
Republic of Congo,1,0,1,,,,,
Russia,1,0,1,,,,,
Rwanda,1,0,1,,,,,
Senegal,1,1,1,,,,,
Sierra Leone,1,0,1,,,,,
Singapore,1,1,1,,,,,
South Africa,1,0,1,,,,,
South Korea,1,0,1,,,,,
Spain,1,0,1,,,,,
Sri Lanka,1,0,1,,,,,
Syria,0,1,1,,,,,
Taiwan,1,0,1,,,,,
Tajikistan,1,0,1,,,,,
Tanzania,1,1,1,,,,,
Thailand,1,0,1,,,,,
Timor Leste,1,0,1,,,,,
Togo,1,0,1,,,,,
Tunisia,0,1,1,,,,,
Turkey,1,1,1,,,,,
Turkmenistan,1,0,1,,,,,
UK,1,0,1,,,,,
USA,1,1,1,,,,,
Uganda,1,0,1,,,,,
Uruguay,1,0,1,,,,,
Uzbekistan,1,0,1,,,,,
Venezuela,1,1,1,,,,,
Vietnam,1,1,1,,,,,
