COUNTRY,Genebanks 2012 Report,Genebanks 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Australia,1,1,1,,,,,
Austria,1,1,1,,,,,
Belgium,1,1,1,,,,,
Brazil,1,1,1,,,,,
Burundi,1,1,1,,,,,
Cameroon,1,1,1,,,,,
China,1,1,1,,,,,
Czech Republic,1,1,1,,,,,
Fiji,1,1,1,,,,,
France,1,1,1,,,,,
Germany,1,1,1,,,,,
Guadeloupe,1,1,1,,,,,
Honduras,1,1,1,,,,,
Indonesia,1,1,1,,,,,
Lebanon,1,1,1,,,,,
Mauritius,1,1,1,,,,,
Morocco,1,1,1,,,,,
New Caledonia,1,1,1,,,,,
Nigeria,1,1,1,,,,,
Pakistan,1,1,1,,,,,
Philippines,1,1,1,,,,,
Puerto Rico,1,1,1,,,,,
Syria,1,1,1,,,,,
Tanzania,1,1,1,,,,,
Tunisia,1,1,1,,,,,
UK,1,1,1,,,,,
Uganda,1,1,1,,,,,
Yemen,1,1,1,,,,,
