COUNTRY,Grain Legumes 2012 Report,Grain Legumes 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Algeria,0,1,1,,,,,
Angola,1,1,1,,,,,
Australia,0,1,1,,,,,
Bangladesh,1,1,1,,,,,
Benin,1,1,1,,,,,
Burkina Faso,1,1,1,,,,,
Burundi,1,1,1,,,,,
Cameroon,1,1,1,,,,,
Central Africa Republic,1,0,1,,,,,
China,0,1,1,,,,,
Colombia,0,1,1,,,,,
Democratic Republic of Congo,0,1,1,,,,,
Egypt,0,1,1,,,,,
Eritrea,0,1,1,,,,,
Ethiopia,1,1,1,,,,,
Georgia,0,1,1,,,,,
Germany,0,1,1,,,,,
Ghana,1,1,1,,,,,
Greece,0,1,1,,,,,
Guinea,1,0,1,,,,,
India,1,1,1,,,,,
Iran,1,1,1,,,,,
Iraq,0,1,1,,,,,
Ireland,0,1,1,,,,,
Japan,0,1,1,,,,,
Jordan,0,1,1,,,,,
Kenya,1,1,1,,,,,
Kuwait,1,1,1,,,,,
Lebanon,0,1,1,,,,,
Lesotho,1,1,1,,,,,
Madagascar,1,1,1,,,,,
Malawi,1,1,1,,,,,
Mali,1,1,1,,,,,
Mexico,0,1,1,,,,,
Morocco,0,1,1,,,,,
Mozambique,1,1,1,,,,,
Myanmar,1,0,1,,,,,
Niger,1,1,1,,,,,
Nigeria,1,1,1,,,,,
Pakistan,0,1,1,,,,,
Philippines,0,1,1,,,,,
Republic of Congo,1,0,1,,,,,
Romania,0,1,1,,,,,
Rwanda,1,1,1,,,,,
Senegal,1,1,1,,,,,
South Africa,1,1,1,,,,,
Sudan,0,1,1,,,,,
Swaziland,1,1,1,,,,,
Syria,0,1,1,,,,,
Tanzania,1,1,1,,,,,
Togo,1,1,1,,,,,
Tunisia,0,1,1,,,,,
Turkey,0,1,1,,,,,
USA,0,1,1,,,,,
Uganda,1,1,1,,,,,
United Arab Emirates,0,1,1,,,,,
Yemen,0,1,1,,,,,
Zambia,1,1,1,,,,,
Zimbabwe,1,1,1,,,,,
