COUNTRY,Livestock and Fish 2012 Report,Livestock and Fish 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Angola,0,1,1,,,,,
Australia,0,1,1,,,,,
Bangladesh,1,1,1,,,,,
Belgium,0,1,1,,,,,
Brazil,0,1,1,,,,,
Burkina Faso,0,1,1,,,,,
Cambodia,0,1,1,,,,,
China,1,0,1,,,,,
Colombia,0,1,1,,,,,
Costa Rica,0,1,1,,,,,
Egypt,1,1,1,,,,,
El Salvador,0,1,1,,,,,
Ethiopia,1,1,1,,,,,
Ghana,1,1,1,,,,,
Guatemala,0,1,1,,,,,
Guinea,0,1,1,,,,,
Honduras,0,1,1,,,,,
India,1,1,1,,,,,
Kenya,1,1,1,,,,,
Laos,0,1,1,,,,,
Lesotho,0,1,1,,,,,
Malawi,1,1,1,,,,,
Malaysia,1,1,1,,,,,
Mali,1,1,1,,,,,
Mexico,0,1,1,,,,,
Mozambique,0,1,1,,,,,
Nicaragua,1,1,1,,,,,
Nigeria,1,1,1,,,,,
Pakistan,0,1,1,,,,,
Panama,0,1,1,,,,,
Philippines,1,0,1,,,,,
Rwanda,0,1,1,,,,,
Saint Lucia,0,1,1,,,,,
Somalia,0,1,1,,,,,
Sudan,0,1,1,,,,,
Sweden,0,1,1,,,,,
Tanzania,1,1,1,,,,,
Thailand,1,0,1,,,,,
Tunisia,0,1,1,,,,,
UK,0,1,1,,,,,
USA,0,1,1,,,,,
Uganda,1,1,1,,,,,
Vanuatu,0,1,1,,,,,
Venezuela,0,1,1,,,,,
Vietnam,1,1,1,,,,,
Zimbabwe,0,1,1,,,,,
