COUNTRY,PIM 2012 Report,PIM 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Angola,1,1,1,,,,,
Argentina,0,1,1,,,,,
Australia,0,1,1,,,,,
Bangladesh,1,1,1,,,,,
Belgium,0,1,1,,,,,
Belize,0,1,1,,,,,
Benin,1,1,1,,,,,
Bhutan,1,0,1,,,,,
Bolivia,1,1,1,,,,,
Brazil,1,1,1,,,,,
Burkina Faso,1,0,1,,,,,
Burundi,1,1,1,,,,,
Cambodia,1,1,1,,,,,
Cameroon,1,1,1,,,,,
Canada,0,1,1,,,,,
China,1,1,1,,,,,
Colombia,1,1,1,,,,,
Costa Rica,1,0,1,,,,,
Democratic Republic of Congo,1,0,1,,,,,
Ecuador,1,1,1,,,,,
Egypt,1,1,1,,,,,
El Salvador,0,1,1,,,,,
Eritrea,0,1,1,,,,,
Ethiopia,1,1,1,,,,,
Fiji,1,0,1,,,,,
France,0,1,1,,,,,
Germany,0,1,1,,,,,
Ghana,1,1,1,,,,,
Guatemala,1,1,1,,,,,
Guinea,1,0,1,,,,,
Haiti,1,0,1,,,,,
Honduras,0,1,1,,,,,
India,1,1,1,,,,,
Indonesia,1,1,1,,,,,
Iran,0,1,1,,,,,
Ireland,0,1,1,,,,,
Israel,0,1,1,,,,,
Italy,0,1,1,,,,,
Ivory Coast,1,1,1,,,,,
Kenya,1,1,1,,,,,
Kyrgyzstan,0,1,1,,,,,
Liberia,0,1,1,,,,,
Libya,0,1,1,,,,,
Madagascar,1,0,1,,,,,
Malawi,1,1,1,,,,,
Malaysia,1,0,1,,,,,
Mali,1,1,1,,,,,
Morocco,1,1,1,,,,,
Mozambique,1,1,1,,,,,
Myanmar,0,1,1,,,,,
Namibia,1,0,1,,,,,
Nepal,1,1,1,,,,,
Netherlands,0,1,1,,,,,
Nicaragua,0,1,1,,,,,
Niger,1,1,1,,,,,
Nigeria,1,1,1,,,,,
Norway,0,1,1,,,,,
Pakistan,1,1,1,,,,,
Panama,0,1,1,,,,,
Peru,1,1,1,,,,,
Philippines,1,1,1,,,,,
Russia,0,1,1,,,,,
Rwanda,1,1,1,,,,,
Senegal,1,1,1,,,,,
Sierra Leone,0,1,1,,,,,
Solomon Islands,1,0,1,,,,,
South Africa,0,1,1,,,,,
South Sudan,1,0,1,,,,,
Spain,0,1,1,,,,,
Sri Lanka,1,1,1,,,,,
Sudan,0,1,1,,,,,
Tajikistan,1,1,1,,,,,
Tanzania,1,1,1,,,,,
Thailand,1,1,1,,,,,
Timor Leste,1,0,1,,,,,
Togo,0,1,1,,,,,
Tunisia,1,1,1,,,,,
USA,0,1,1,,,,,
Uganda,1,1,1,,,,,
United Arab Emirates,0,1,1,,,,,
Uruguay,1,0,1,,,,,
Vanuatu,1,0,1,,,,,
Vietnam,1,1,1,,,,,
Yemen,0,1,1,,,,,
Zambia,1,1,1,,,,,
Zimbabwe,1,1,1,,,,,
