COUNTRY,RTB 2012 Report,RTB 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Angola,0,1,1,,,,,
Australia,0,1,1,,,,,
Austria,0,1,1,,,,,
Bangladesh,1,1,1,,,,,
Belgium,0,1,1,,,,,
Benin,1,0,1,,,,,
Bhutan,1,1,1,,,,,
Bolivia,1,1,1,,,,,
Brazil,1,1,1,,,,,
Burundi,1,1,1,,,,,
Cambodia,1,1,1,,,,,
Cameroon,0,1,1,,,,,
China,1,1,1,,,,,
Colombia,1,1,1,,,,,
Costa Rica,1,1,1,,,,,
Czech Republic,1,0,1,,,,,
Democratic Republic of Congo,0,1,1,,,,,
Dominican Republic,1,0,1,,,,,
Ecuador,1,1,1,,,,,
Ethiopia,1,1,1,,,,,
Fiji,0,1,1,,,,,
Finland,0,1,1,,,,,
France,0,1,1,,,,,
Ghana,1,1,1,,,,,
Haiti,0,1,1,,,,,
Honduras,1,0,1,,,,,
India,1,1,1,,,,,
Indonesia,1,0,1,,,,,
Italy,0,1,1,,,,,
Kenya,1,1,1,,,,,
Madagascar,0,1,1,,,,,
Malawi,1,1,1,,,,,
Mongolia,0,1,1,,,,,
Mozambique,1,1,1,,,,,
Nepal,1,0,1,,,,,
Nicaragua,1,1,1,,,,,
Nigeria,1,1,1,,,,,
Panama,1,1,1,,,,,
Peru,1,1,1,,,,,
Philippines,0,1,1,,,,,
Republic of Congo,1,0,1,,,,,
Rwanda,1,1,1,,,,,
Scotland,0,1,1,,,,,
Sierra Leone,1,0,1,,,,,
South Africa,1,1,1,,,,,
Sri Lanka,0,1,1,,,,,
Tajikistan,0,1,1,,,,,
Tanzania,1,1,1,,,,,
Thailand,1,1,1,,,,,
Tunisia,0,1,1,,,,,
USA,0,1,1,,,,,
Uganda,1,1,1,,,,,
Uzbekistan,1,1,1,,,,,
Vietnam,1,1,1,,,,,
Zambia,1,1,1,,,,,
