COUNTRY,Wheat 2012 Report,Wheat 2013 Report,Actual Value (please review),Activity or Intervention,"Conference, Meeting, Workshop, or Training Event",Partners,Permanent Agricultural Trial Site,Intended Beneficiaries
Afghanistan,1,1,1,,,,,
Algeria,1,1,1,,,,,
Argentina,1,0,1,,,,,
Australia,0,1,1,,,,,
Azerbaijan,1,0,1,,,,,
Bangladesh,1,1,1,,,,,
Bhutan,0,1,1,,,,,
Brazil,1,1,1,,,,,
Burundi,1,0,1,,,,,
China,1,1,1,,,,,
Denmark,0,1,1,,,,,
Egypt,1,1,1,,,,,
Eritrea,1,0,1,,,,,
Ethiopia,1,1,1,,,,,
France,0,1,1,,,,,
Georgia,1,0,1,,,,,
Germany,0,1,1,,,,,
Ghana,0,1,1,,,,,
India,1,1,1,,,,,
Iran,1,1,1,,,,,
Iraq,0,1,1,,,,,
Italy,0,1,1,,,,,
Japan,0,1,1,,,,,
Jordan,1,1,1,,,,,
Kazakhstan,1,1,1,,,,,
Kenya,1,1,1,,,,,
Kuwait,1,1,1,,,,,
Kyrgyzstan,1,0,1,,,,,
Lebanon,0,1,1,,,,,
Mexico,1,1,1,,,,,
Morocco,1,1,1,,,,,
Mozambique,1,0,1,,,,,
Nepal,1,1,1,,,,,
Nigeria,1,1,1,,,,,
Pakistan,1,1,1,,,,,
Philippines,0,1,1,,,,,
Russia,0,1,1,,,,,
Rwanda,1,0,1,,,,,
Saudi Arabia,1,1,1,,,,,
Scotland,0,1,1,,,,,
South Africa,1,0,1,,,,,
Spain,0,1,1,,,,,
Sri Lanka,0,1,1,,,,,
Sudan,1,1,1,,,,,
Syria,1,1,1,,,,,
Tajikistan,1,1,1,,,,,
Tanzania,0,1,1,,,,,
Tunisia,1,1,1,,,,,
Turkey,1,1,1,,,,,
Turkmenistan,0,1,1,,,,,
UK,0,1,1,,,,,
USA,0,1,1,,,,,
Uganda,1,0,1,,,,,
Ukraine,1,0,1,,,,,
United Arab Emirates,0,1,1,,,,,
Uruguay,1,0,1,,,,,
Uzbekistan,1,1,1,,,,,
Yemen,1,1,1,,,,,
Zambia,1,1,1,,,,,
Zimbabwe,1,1,1,,,,,
