id,cg_identifier,title,activity_status,last_updated,cg_activity_hierarchy,iati_identifier,act_date_start_planned,act_date_start_actual,act_date_end_planned,act_date_end_actual,contact_id,contact_tmp,reporting_org,reporting_org_type,reporting_org_tmp,reporting_org_type_tmp,participating_org,participating_org_type,participating_org_role,participating_org_tmp,participating_org_type_tmp,participating_org_role_tmp,description,budget_period_start,budget_period_end,budget_value,budget_value_currency,budget_value_date,budget_collaboration_type,cg_program,cg_program_tmp,cg_slo,cg_slo_tmp,cg_ido,cg_ido_tmp,cg_crp_ido,cg_crp_ido_tmp,cg_technology,cg_technology_tmp,cg_commodity,cg_commodity_tmp,document_url,project_website,cg_source,cg_remarks,cg_internal_status,cg_completeness
87,CRP2_IITA_Act78,,2,2014-01-24,103,,2012-06-01,,2014-12-01,,670,Arega D. Alene,,21,International Institute of Tropical Agriculture (IITA),International NGO (21),,,,IFPRI|African NARS & Universities,,,"This research will be undertaken to assess the alternative futures and outlooks for IITA mandate cropsunder a range of socioeconomic (i.e. population and income growth, urbanization, etc.) and environmental changes. The study will assess the potential impacts of changing consumption patterns and preferences on production and trade opportunities for major crops . Analysis of the effects of alternative policies and R&D investments will be undertaken to understand the extent to which a range of possible interventions will limit the negative impacts of drivers of change.",,,913268,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-01,,53|52,Economic and policy technology|Educational technology,,"",,IITA - Work plan (Annex 2 PPA),"IITA - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Foresight and Strategic Scenarios-1.1(st);1.1.1(op),0,
75,CRP2_IFPRI_Act44,,2,2014-01-24,103,,2012-03-01,,2014-12-01,,10315|8872,Margaret McMillan,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,World Bank|Yale University – Department of Economics|Norwegian University of Life Sciences|UMB – Center for Land Tenure Study|Office of the Administrator of Stool Lands (OASL) - Ghana|Presidential Technical Committee for Land Reform (PTCLR) - Nigeria|University of Lagos|Kwame Nkrumah University of Science and Technology|Ghana Strategy Support Program|Nigeria Strategy Support Program|Ethiopia Strategy Support Program,,,"The research project will focus on providing objective and balanced assessment of social and economic outcomes of pilot land policy reform programs in three African countries, namely, Ethiopia, Ghana and Nigeria with proper emphasis on gender aspects and other social differentiation. The analysis will be contextualized to gain the necessary understanding of complex and dynamic land policy outcomes taking the case of the diverse approaches to securing land rights adopted by these countries. The project will aim to show why “one-size-fits- all” solutions should be avoided and document considerable experiences from which to learn.",,,721006,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-07,,52,Economic and policy technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Inclusive Governance and Institutions(theme);Collective Action and Property Rights-2.3(st);2.3.3(op),0,
34,CRP4_34,Preventing malnutrition in children under 2 years PM2A,2,2014-01-24,103,,2012-02-01,,2016-09-01,,7958|10665,Deanna Olney|Jef Leroy,,21,IFPRI,International NGO (21),,,,n/a,,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-04,,CG-IDO-08,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Integrated Programs and Policies(theme),0,
36,CRP4_36,"SPRING: strengthening partnerships, results and innovations in nutrition globally",2,2014-01-24,103,,2011-09-01,,2016-09-01,,,Jack Fiedler,,21,IFPRI,International NGO (21),,,,"",,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-04,,CG-IDO-08,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Integrated Programs and Policies(theme),0,
37,CRP4_37,Transform Nutrition Research Program Consortium,2,2014-01-24,103,,2012-09-01,,2017-08-01,,4904,Stuart Gillespie,,21,IFPRI,International NGO (21),,,,none,,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-04,,CG-IDO-08,,53,Educational technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Integrated Programs and Policies(theme),0,
39,CRP4_39,POSHAN: Partnerships and opportunities for strengthening harmonizing actions for nutrition in India,2,2014-01-24,103,,2011-09-01,,2015-09-01,,8977,Purnima Menon,,21,IFPRI,International NGO (21),,,,None,,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-04,,CG-IDO-08,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Integrated Programs and Policies(theme),0,
52,CRP4_52,Making agricultural innovations work for smallholder farmers affected by HIV/AIDS in southern Africa,2,2014-01-24,103,,2010-11-01,,2013-11-01,,,M. Mussagy|T. Gondwe,,21,IITA,International NGO (21),,,,N/A,,,"",,,6000000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-04,,CG-IDO-08,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Integrated Programs and Policies(theme),0,
61,CRP4_61,"Improving fruit production, marketing and consumption for enhanced livelihoods in sub-Saharan Africa",2,2014-01-24,103,,2012-01-01,,2014-12-01,,6608|7236,Ramni Jamnadass|Katja Kehlenbeck,,21,WORLD AGROFORESTRY,International NGO (21),,,,"",,,"",,,1020000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,52,Economic and policy technology,,fruit,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
62,CRP4_62,Leveraging fruit value chains for sustainable and healthier diets in Kenya and Peru,2,2014-01-24,103,,2013-06-01,,2014-05-01,,3773|8874,Stepha McMullin|Jason Donovan,,21,WORLD AGROFORESTRY,International NGO (21),,,,Bioversity,,,"",,,100000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,52,Economic and policy technology,,fruit,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
64,CRP4_64,Value Chain of Dried Small Fish ,2,2014-01-24,103,,2013-01-01,,2013-12-01,,13061|13774,Shakuntala Haraksingh Thilsted,,21,WORLD FISH,International NGO (21),,,,"",,,"",,,40000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,65,Fishery technology,,small fish,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Nutrition Sensitive Value Chains(theme),0,
57,CRP4_57,Emerging Infectious Diseases,2,2014-01-24,103,,2012-01-01,,2015-12-31,,1805|7251,Bernard Bett|Steve Kemp,,21,ILRI,International NGO (21),,,,"",,,"",,,,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-02,,,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Agriculture Associated Diseases(theme),0,
