Activity ID,Activity Title,CRP2 Theme,Source,adm1,adm1name,adm2,adm2name,geo_name,geo_name_id,latitude,location_type,longitude,note,precision
CRP2_BIO_Act2,"Collective action, incentive mechanisms and policies to strengthen conservation, sustainable use and governance of agrobiodiversity",Inclusive Governance and Institutions,Biodiversity - Work plan (Annex 2 PPA),,,,,New Delhi,1261481,28.63576,capital of a political entity,77.22445,see pg 25,6
CRP2_BIO_Act2,"Collective action, incentive mechanisms and policies to strengthen conservation, sustainable use and governance of agrobiodiversity",Inclusive Governance and Institutions,Biodiversity - Work plan (Annex 2 PPA),,,,,Kathmandu,1283240,27.70169,capital of a political entity,85.3206,see pg 25,6
CRP2_BIO_Act2,"Collective action, incentive mechanisms and policies to strengthen conservation, sustainable use and governance of agrobiodiversity",Inclusive Governance and Institutions,Biodiversity - Work plan (Annex 2 PPA),,,,,Sucre,3903987,-19.03332,capital of a political entity,-65.26274,see pg 25,6
CRP2_BIO_Act2,"Collective action, incentive mechanisms and policies to strengthen conservation, sustainable use and governance of agrobiodiversity",Inclusive Governance and Institutions,Biodiversity - Work plan (Annex 2 PPA),,,,,Lima,3936456,-12.04318,capital of a political entity,-77.02824,see pg 25,6
CRP2_BIO_Act3,"Collective action in the creation, maintenance and use of common genetic resources pools",Effective Policies and Strategic Investments,Biodiversity - Work plan (Annex 2 PPA),,,,,Kuala Lumpur,1735161,3.1412,capital of a political entity,101.68653,see pg 36,6
CRP2_BIO_Act3,"Collective action in the creation, maintenance and use of common genetic resources pools",Effective Policies and Strategic Investments,Biodiversity - Work plan (Annex 2 PPA),,,,,Thimphu,1252416,27.46609,capital of a political entity,89.64191,see pg 36,6
CRP2_BIO_Act3,"Collective action in the creation, maintenance and use of common genetic resources pools",Effective Policies and Strategic Investments,Biodiversity - Work plan (Annex 2 PPA),,,,,Kathmandu,1283240,27.70169,capital of a political entity,85.3206,see pg 36,6
CRP2_BIO_Act3,"Collective action in the creation, maintenance and use of common genetic resources pools",Effective Policies and Strategic Investments,Biodiversity - Work plan (Annex 2 PPA),,,,,Kampala,232422,0.31628,capital of a political entity,32.58219,see pg 36,6
CRP2_BIO_Act3,"Collective action in the creation, maintenance and use of common genetic resources pools",Effective Policies and Strategic Investments,Biodiversity - Work plan (Annex 2 PPA),,,,,Kigali,202061,-1.94995,capital of a political entity,30.05885,see pg 36,6
CRP2_BIO_Act3,"Collective action in the creation, maintenance and use of common genetic resources pools",Effective Policies and Strategic Investments,Biodiversity - Work plan (Annex 2 PPA),,,,,Yamoussoukro,2279755,6.82055,capital of a political entity,-5.27674,see pg 36,6
