Organization,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),,,,,,,,,,,,,,,
ASARECA,3.1.2.2,,1.2,,,,,,cattle|goats|sheep,Forage and feed technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal nutrition & Feeds,,,,,,,,,,,,,,,,,,
ASARECA,3.1.2.3,,1.2,,,,,,cattle|goats|sheep,Forage and feed technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal nutrition & Feeds,,,,,,,,,,,,,,,,,,
ASARECA,3.1.2.4,,1.2,,,,,,cattle|goats|sheep,Breeding technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal nutrition & Feeds,,,,,,,,,,,,,,,,,,
ASARECA,3.1.2.5,,1.2,,,,,,cattle|goats|sheep,Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal nutrition & Feeds,,,,,,,,,,,,,,,,,,
ASARECA,3.1.2.6,,1.2,,,,,,cattle|goats|sheep,Economic and policy technology|Livestock technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal nutrition & Feeds,,,,,,,,,,,,,,,,,,
ASARECA,3.1.1.1,,1.1,,,,,,cattle|goats|sheep,Breeding technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal genetic resources and Breeding,,,,,,,,,,,,,,,,,,
ASARECA,3.1.1.2,,1.1,,,,,,cattle|goats|sheep,Economic and policy technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal genetic resources and Breeding,,,,,,,,,,,,,,,,,,
ASARECA,3.1.1.3,,1.1,,,,,,cattle|goats|sheep,Economic and policy technology|Breeding technology|Private sector animal health delivery systems,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal genetic resources and Breeding,,,,,,,,,,,,,,,,,,
ASARECA,3.1.3.4,,1.3,,,,,,cattle|goats|sheep,Optimized breed selection of local dryland livestock,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal Health,,,,,,,,,,,,,,,,,,
ASARECA,3.1.3.5,,1.3,,,,,,cattle|goats|sheep,Animal health and disease control,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal production,,,,,,,,,,,,,,,,,,
ASARECA,3.1.3.6,,1.3,,,,,,cattle|goats|sheep,Animal health and disease control,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal Health,,,,,,,,,,,,,,,,,,
ASARECA,3.2.1.1,,2.1,,,,,,cattle|goats|sheep,Economic and policy technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal production,,,,,,,,,,,,,,,,,,
ASARECA,3.2.1.2,,2.1,,,,,,cattle|goats|sheep,Economic and policy technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Animal production,,,,,,,,,,,,,,,,,,
