Organization,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),,,,,,,,,,,,,,,
CORAF,LFA/01/CP/IRDC/2009-13/,,,,,,,,,Economic and policy technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet1.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,LFA/02/CP/CW/2011-14/,,,,,,,,,Animal health and disease control,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet2.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,LFA/03/CF/CW/2011-14/,,,,,,,,livestock,Livestock technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet3.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,LFA/04/CF/CW/2011-14/,,,,,,,,fish,Fishery technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet4.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,LFA/05/CF/CW/2011-14/,,,,,,,,fish|rice|poultry,Economic and policy technology|Fishery technology|Livestock technology|Plant breeding technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet5.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,LFA/06/CF/CW/2011-14/,,,,,,,,fish|cum rice|piggery,Economic and policy technology|Fishery technology|Livestock technology|Plant breeding technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet6.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,SC/01/CP/USAID/2009-11/,,,,,,,,sorghum,Advanced locally adapted seed varieties,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet7.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,SC/02/CP/USAID/2009-11/,,,,,,,,yam,Advanced locally adapted seed varieties,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet8.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,SC/03/CP/USAID/2009-11/,,,,,,,,rice|sorghum|millet|cassava,Postharvest technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/programmedetail.php?detail=SC/03/CP/USAID/2009-11/,,,,,,,,,,,,,,,,,,,,,,
CORAF,SC/04/CP/USAID/2010-13,,,,,,,,,Conservation agriculture technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet9.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,SC/05/CP/USAID/2010-13/,,,,,,,,cowpea,Conservation agriculture technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/programmedetail.php?detail=SC/05/CP/USAID/2010-13/,,,,,,,,,,,,,,,,,,,,,,
CORAF,SC/06/CP/USAID/2010-13/,,,,,,,,maize,Conservation agriculture technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/programmedetail.php?detail=SC/06/CP/USAID/2010-13/,,,,,,,,,,,,,,,,,,,,,,
CORAF,SC/07/CP/USAID/2009-11/,,,,,,,,maize|cowpea,Postharvest technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet12.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,SC/08/CP/AUSAID/2011-13/,,,,,,,,,Seed technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet13.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,NRM/01/CF/CW/2011-14/,,,,,,,,,Soil management technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet14.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,NRM/03/CF/CW/2011-14/,,,,,,,,Sahelian zebu cattle,Livestock technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet16.pdf,,,,,,,,,,,,,,,,,,,,,,
CORAF,NRM/04/CF/AUSAID/2011-14/,,,,,,,,livestock,Conservation agriculture technology|Livestock technology|Agroforestry technology,,,,CORAF,international ngo,http://www.coraf.org/database/projet/en/projet17.pdf,,,,,,,,,,,,,,,,,,,,,,
