CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s)
1.1,2.1.1,,2.1,,,,,,rice,,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Households,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.1.2,,2.1,,,,,,rice,Education technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Natural resource management,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.1.3,,2.1,,,,,,rice,Climate information and advisory service,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Agricultural situation and Early warning,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.1.4,,2.1,,,,,,rice,Water management technology|Soil management technology|Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Natural resource management,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.1.5,,2.1,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Capacity building,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.2.1,,2.2,,,,,,rice,Information and communication technology|Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Natural resource management,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.2.2,,2.2,,,,,,rice,Water management technology|Soil management technology|Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Policy,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.2.3,,2.2,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Policy,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.2.4,,2.2,,,,,,rice,Education technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Databases & Information systems,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2.3.1,,2.3,,,,,,rice,Climate information and advisory service,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Agricultural situation and Early warning,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
