CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Activity location type,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),,,,,,,,,
3.2,6.8,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,7.1,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,7.2,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,7.3,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,7.4,,,,,,,,maize,Food processing,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,7.5,,,,,,,,maize,Genetic engineering|Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,7.6,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,7.7,,,,,,,,maize,Conservation agriculture technology|Livestock technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.1.1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.1.2,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.2,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.2.1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.2.2,,,,,,,,maize,,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.3,,,,,,,,maize,Economic and policy technology|Postharvest technology|Food technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.3.1,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.4,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,1.5,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
