CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),,
5,1a,,Gender,,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1b,,Institutions and Governance,,,,,,,Economic and policy technology|Education technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1c,,Ecosystem services,,,,,,,Protection technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1d,,"Sub-Theme, 1.6, Irrigation management",,,,,,,Economic and policy technology|Irrigation technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Irrigated|Cereal-root crop mixed|Agro-pastoral millet/sorghum,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1e,,"Sub-Theme, 1.1, Revitalising Asias public irrigation systems",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1f,,"Sub-Theme, 1.5, Reducing salinity, at last, along the Indus and in Central Asia",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1g,,"Sub-Theme, 1.4, Revving up the Ganges Water Machine",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1h,,"Sub-theme, 2.1, Recapitalizing African soils and reducing land degradation",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Sustainable land management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1.1,,Strategic Research Portfolio 1: Irrigated Systems,,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1.2,,Strategic Research Portfolio 1: Irrigated Systems,,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,1.3,,Strategic Research Portfolio 1: Irrigated Systems,,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,2a,,Gender,,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,2b,,"Sub-theme, 2.2, Revitalizing productivity on responsive soils",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,2c,,"Sub-Theme, 1.6, Irrigation management",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Irrigated|Cereal-root crop mixed|Agro-pastoral millet/sorghum,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,2.1,,Strategic Research Portfolio 2: Rainfed Systems,,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,2.2,,Strategic Research Portfolio 2: Rainfed Systems,,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,2.3,,Strategic Research Portfolio 2: Rainfed Systems,,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,3a,,"Sub-Theme, 1.6, Irrigation management",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Irrigated|Cereal-root crop mixed|Agro-pastoral millet/sorghum,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,3b,,"Sub-theme, 2.3, Increasing agricultural production while enhancing biodiversity",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,3.1,,Strategic Research Portfolio 3: Resource Recovery and Reuse,,,,,,,Waste-water treatment,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,3.2,,Strategic Research Portfolio 3: Resource Recovery and Reuse,,,,,,,Rainharvest technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,3.3,,Strategic Research Portfolio 3: Resource Recovery and Reuse,,,,,,,Economic and policy technology|Fertilizer technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4a,,"Sub-Theme, 1.6, Irrigation management",,,,,,,Economic and policy technology|Education technology|Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Irrigated|Cereal-root crop mixed|Agro-pastoral millet/sorghum,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4b,,"Sub-theme, 2.4, Enhancing availability and access to water and land for pastoralists",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.1,,Strategic Research Portfolio 4: River Basins,,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.1.1,,"Theme, 4.1, Mekong River Basin",,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.1.2,,"Theme, 4.1, Mekong River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.1.3,,"Theme, 4.1, Mekong River Basin",,,,,,,Waste-water treatment|Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.1.4,,"Theme, 4.1, Mekong River Basin",,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
