Organization,SOURCE,GEONAME,GEONAME_ID,LOCATION_TYPE,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,LATITUDE,LONGITUDE,PRECISION_CODE
ASARECA,ASARECA Programme Portfolios,Burundi,433561,independent political entity,,,,,-3.5,30,6
ASARECA,ASARECA Programme Portfolios,Congo,203312,independent political entity,,,,,-2.5,35,6
ASARECA,ASARECA Programme Portfolios,Eritrea,338010,independent political entity,,,,,15,39,6
ASARECA,ASARECA Programme Portfolios,Ethiopia,337996,independent political entity,,,,,8,38,6
ASARECA,ASARECA Programme Portfolios,Kenya,192950,independent political entity,,,,,1,38,6
ASARECA,ASARECA Programme Portfolios,Madagascar,1062947,independent political entity,,,,,-20,47,6
ASARECA,ASARECA Programme Portfolios,Rwanda,49518,independent political entity,,,,,-2,30,6
ASARECA,ASARECA Programme Portfolios,Sudan,366755,independent political entity,,,,,16,30,6
ASARECA,ASARECA Programme Portfolios,Tanzania,149590,independent political entity,,,,,-6,35,6
ASARECA,ASARECA Programme Portfolios,Uganda,226074,independent political entity,,,,,1.25,32.5,6
