PROJECT_ID,TITLE,Organization,SOURCE_URL,SOURCE,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,LATITUDE,LONGITUDE,GEONAME_ID,GEONAME,PRECISION_CODE,LOCATION_TYPE

LFA/01/CP/IRDC/2009-13/,Building livelihoods resilience to alleviate poverty in semi-arid areas of West Africa (PLM) ,CORAF,http://www.coraf.org/database/projet/en/projet1.pdf,CORAF project document,,,,,18,9,2440476,Niger,6,independent political entity

LFA/01/CP/IRDC/2009-13/,Building livelihoods resilience to alleviate poverty in semi-arid areas of West Africa (PLM) ,CORAF,http://www.coraf.org/database/projet/en/projet1.pdf,CORAF project document,,,,,18,-2,2453866,Mali,6,independent political entity

LFA/01/CP/IRDC/2009-13/,Building livelihoods resilience to alleviate poverty in semi-arid areas of West Africa (PLM) ,CORAF,http://www.coraf.org/database/projet/en/projet1.pdf,CORAF project document,,,,,8,1.1666667,2363686,Togo,6,independent political entity

LFA/02/CP/CW/2011-14/,"Assessment of emerging livestock ticks and tick-borne disease threats and integrated control strategies in West and Central Africa
Acronym :  WECATiC",CORAF,http://www.coraf.org/database/projet/en/projet2.pdf,CORAF project document,,,,,13,-2,2361809,Burkina Faso,6,independent political entity

LFA/02/CP/CW/2011-14/,"Assessment of emerging livestock ticks and tick-borne disease threats and integrated control strategies in West and Central Africa
Acronym :  WECATiC",CORAF,http://www.coraf.org/database/projet/en/projet2.pdf,CORAF project document,,,,,9.5,2.25,2395170,Benin,6,independent political entity

LFA/02/CP/CW/2011-14/,"Assessment of emerging livestock ticks and tick-borne disease threats and integrated control strategies in West and Central Africa
Acronym :  WECATiC",CORAF,http://www.coraf.org/database/projet/en/projet2.pdf,CORAF project document,,,,,6,12,2233387,Cameroon,6,independent political entity

LFA/03/CF/CW/2011-14/,Support the sustainable improvement of productivity and the competitiveness of the dairy sector in West Africa and Central,CORAF,http://www.coraf.org/database/projet/en/projet3.pdf,CORAF project document,,,,,15,19,2434508,Chad,6,independent political entity

LFA/03/CF/CW/2011-14/,Support the sustainable improvement of productivity and the competitiveness of the dairy sector in West Africa and Central,CORAF,http://www.coraf.org/database/projet/en/projet3.pdf,CORAF project document,,,,,14,-14,2245662,Senegal,6,independent political entity

LFA/03/CF/CW/2011-14/,Support the sustainable improvement of productivity and the competitiveness of the dairy sector in West Africa and Central,CORAF,http://www.coraf.org/database/projet/en/projet3.pdf,CORAF project document,,,,,13,-2,2361809,Burkina Faso,6,independent political entity

LFA/03/CF/CW/2011-14/,Support the sustainable improvement of productivity and the competitiveness of the dairy sector in West Africa and Central,CORAF,http://www.coraf.org/database/projet/en/projet3.pdf,CORAF project document,,,,,6,12,2233387,Cameroon,6,independent political entity

LFA/03/CF/CW/2011-14/,Support the sustainable improvement of productivity and the competitiveness of the dairy sector in West Africa and Central,CORAF,http://www.coraf.org/database/projet/en/projet3.pdf,CORAF project document,,,,,18,9,2440476,Niger,6,independent political entity

LFA/04/CF/CW/2011-14/,Ecological intensification of extensive fish farming systems family in West Africa and Central Africa from an analysis of the innovation process,CORAF,http://www.coraf.org/database/projet/en/projet4.pdf,CORAF project document,,,,,9.5,2.25,2395170,Benin,6,independent political entity

LFA/04/CF/CW/2011-14/,Ecological intensification of extensive fish farming systems family in West Africa and Central Africa from an analysis of the innovation process,CORAF,http://www.coraf.org/database/projet/en/projet4.pdf,CORAF project document,,,,,6,12,2233387,Cameroon,6,independent political entity

LFA/04/CF/CW/2011-14/,Ecological intensification of extensive fish farming systems family in West Africa and Central Africa from an analysis of the innovation process,CORAF,http://www.coraf.org/database/projet/en/projet4.pdf,CORAF project document,,,,,8,-5,2287781,Ivory Coast,6,independent political entity

LFA/05/CF/CW/2011-14/,"Sustainable Integrated pond based aquaculture with rice and poultry production: Economic, social and environmental assessment.",CORAF,http://www.coraf.org/database/projet/en/projet5.pdf,CORAF project document,,,,,8.5,-11.5,2403846,Sierra Leone,6,independent political entity

LFA/05/CF/CW/2011-14/,"Sustainable Integrated pond based aquaculture with rice and poultry production: Economic, social and environmental assessment.",CORAF,http://www.coraf.org/database/projet/en/projet5.pdf,CORAF project document,,,,,10,8,2328926,Nigeria,6,independent political entity

LFA/05/CF/CW/2011-14/,"Sustainable Integrated pond based aquaculture with rice and poultry production: Economic, social and environmental assessment.",CORAF,http://www.coraf.org/database/projet/en/projet5.pdf,CORAF project document,,,,,6,12,2233387,Cameroon,6,independent political entity

LFA/06/CF/CW/2011-14/,Poverty Eradication and Grassroots Empowerment through Sustainable Integrated Aquaculture Development: Fish cum rice and Piggery production,CORAF,http://www.coraf.org/database/projet/en/projet6.pdf,CORAF project document,,,,,6,12,2233387,Cameroon,6,independent political entity

LFA/06/CF/CW/2011-14/,Poverty Eradication and Grassroots Empowerment through Sustainable Integrated Aquaculture Development: Fish cum rice and Piggery production,CORAF,http://www.coraf.org/database/projet/en/projet6.pdf,CORAF project document,,,,,10,8,2328926,Nigeria,6,independent political entity

LFA/06/CF/CW/2011-14/,Poverty Eradication and Grassroots Empowerment through Sustainable Integrated Aquaculture Development: Fish cum rice and Piggery production,CORAF,http://www.coraf.org/database/projet/en/projet6.pdf,CORAF project document,,,,,8.5,-11.5,2403846,Sierra Leone,6,independent political entity

SC/01/CP/USAID/2009-11/,Promotion of Striga Resistant Sorghum Varieties to mitigate food crises in the Sahelian zone ,CORAF,http://www.coraf.org/database/projet/en/projet7.pdf,CORAF project document,,,,,14,-14,2245662,Senegal,6,independent political entity

SC/01/CP/USAID/2009-11/,Promotion of Striga Resistant Sorghum Varieties to mitigate food crises in the Sahelian zone ,CORAF,http://www.coraf.org/database/projet/en/projet7.pdf,CORAF project document,,,,,13,-2,2361809,Burkina Faso,6,independent political entity

SC/01/CP/USAID/2009-11/,Promotion of Striga Resistant Sorghum Varieties to mitigate food crises in the Sahelian zone ,CORAF,http://www.coraf.org/database/projet/en/projet7.pdf,CORAF project document,,,,,18,-2,2453866,Mali,6,independent political entity

