CRP,Source Detail,geo_name,geo_name_id,location_type,adm1,adm1name,adm2,adm2name,latitude,longitude,precision
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,?dil?b?d,1279345,second-order administrative division,1485,Andhra Pradesh,17547,Adilabad,19.5,78.5,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Afar Region,444179,first-order administrative division,1228,Afar,,,12,41.5,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Amhara Region,444180,first-order administrative division,1229,Amhara,,,11.5,38.5,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Anantapur,1278673,second-order administrative division,2276,Punjab,23656,Chakwal,14.55,77.4166667,3
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Aral Sea,1526250,sea,,,,,45,60,5
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Aras River,143105,stream,,,,,40.016313,48.451155,5
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Azerbaijan,587116,independent political entity,,,,,40.5,47.5,6
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Bandafassi,2254289,populated place,2643,Tambacounda,25341,Kedougou,12.53965054,-12.31060982,1
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Baringo,200573,first-order administrative division,51331,Rift Valley,,,0.6666667,36,4
1.1,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Bawku,7648956,second-order administrative division,1330,Upper East,16639,Bawku East,11.05806,-0.24167,3
