source_project_id,CRP,CRP Activities,Source Detail,geo_name,geo_name_id,location_type,adm1,adm1name,adm2,adm2name,latitude,longitude,precision
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Zambia,895949,independent political entity,,,,,-14.33333,28.5,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Ethiopia,337996,independent political entity,,,,,9,39.5,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Angola,3351879,independent political entity,,,,,-12.5,18.5,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Ghana,2300660,independent political entity,,,,,8.1,-1.2,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Nigeria,2328926,independent political entity,,,,,10,8,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,India,1269750,independent political entity,,,,,22,79,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,China,1814991,independent political entity,,,,,35,105,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,South Africa,953987,independent political entity,,,,,-29,24,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Zimbabwe,878675,independent political entity,,,,,-19,29.75,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Haiti,3723988,independent political entity,,,,,19,-72.41667,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Mexico,3996063,independent political entity,,,,,23,-102,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Guatemala,3595528,independent political entity,,,,,15.5,-90.25,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,El Salvador,3585968,independent political entity,,,,,13.83333,-88.91667,6
CRP3.2_6.8,3.2,6.8,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Honduras,3608932,independent political entity,,,,,15,-86.5,6
