CRP,geo_name,geo_name_id,location_type,,adm1,adm1name,adm2,adm2name,latitude,longitude,precision,,,,
3.6,Afganistan,1149361,independent political entity,,,,,,33,66,6,,,,
3.6,Algeria,2589581,independent political entity,,,,,,28,3,6,,,,
3.6,Angola,3351879,independent political entity,,,,,,-12.5,18.5,6,,,,
3.6,Azerbaijan,587116,independent political entity,,,,,,40.5,47.5,6,,,,
3.6,Benin,2395170,independent political entity,,,,,,9.5,2.25,6,,,,
3.6,Burkina Faso,2361809,independent political entity,,,,,,13,-2,6,,,,
3.6,Cameroon,2233387,independent political entity,,,,,,6,12,6,,,,
3.6,Chad,2434508,independent political entity,,,,,,15,19,6,,,,
3.6,China,1814991,independent political entity,,,,,,35,105,6,,,,
3.6,Egypt,357994,independent political entity,,,,,,27,30,6,,,,
3.6,Eritrea,338010,independent political entity,,,,,,15,39,6,,,,
3.6,Ethiopia,337996,independent political entity,,,,,,9,39.5,6,,,,
3.6,Gambia,2413451,independent political entity,,,,,,13.5,-15.5,6,,,,
3.6,Ghana,2300660,independent political entity,,,,,,8.1,-1.2,6,,,,
3.6,Guinea,2420477,independent political entity,,,,,,11,-10,6,,,,
3.6,India,1269750,independent political entity,,,,,,20,77,6,,,,
3.6,Iran,130758,independent political entity,,,,,,32,53,6,,,,
3.6,Iraq,99237,independent political entity,,,,,,33,44,6,,,,
3.6,Kazakstan,1522867,independent political entity,,,,,,48,68,6,,,,
3.6,Kyrgyzstan,1527747,independent political entity,,,,,,41,75,6,,,,
3.6,Libya,2215636,independent political entity,,,,,,17,28,6,,,,
3.6,Mali,7801808,independent political entity,,,,,,18,-2,6,,,,
3.6,Mauritania,2378080,independent political entity,,,,,,20,-12,6,,,,
3.6,Morocco,2542007,independent political entity,,,,,,32,-5,6,,,,
3.6,Mozambique,1036973,independent political entity,,,,,,-18.25,35,6,,,,
3.6,Namibia,3355338,independent political entity,,,,,,-22,17,6,,,,
3.6,Nepal,1282988,independent political entity,,,,,,28,84,6,,,,
3.6,Niger,2328928,independent political entity,,,,,,18,9,6,,,,
3.6,Nigeria,2328926,independent political entity,,,,,,10,8,6,,,,
3.6,Pakistan,1168579,independent political entity,,,,,,30,70,6,,,,
3.6,Rwanda,49518,independent political entity,,,,,,-2,30,6,,,,
3.6,Senegal,2245662,independent political entity,,,,,,14,-14,6,,,,
3.6,Somalia,51537,independent political entity,,,,,,6,48,6,,,,
3.6,Sudan,366755,independent political entity,,,,,,16,30,6,,,,
3.6,Tanzania,149590,independent political entity,,,,,,-6,35,6,,,,
3.6,Togo,2363686,independent political entity,,,,,,8,1.16667,6,,,,
3.6,Tunisia,2464461,independent political entity,,,,,,34,9,6,,,,
3.6,Turkey,298795,independent political entity,,,,,,39.059012,34.911546,6,,,,
3.6,Uganda,226074,independent political entity,,,,,,2,33,6,,,,
3.6,Yemen,69543,independent political entity,,,,,,15.5,47.5,6,,,,
3.6,Zimbabwe,878675,independent political entity,,,,,,-19,29,6,,,,
