source_project_id,CRP,title,Source Detail,geo_name,geo_name_id,location_type,adm1,adm1name,adm2,adm2name,latitude,longitude,precision

CRP4_1,4,Enhanced nutritional outcomes of populations through nutrition-sensitive agricultural promotion by a vegetable seed company in Bangladesh,A4NH_where we work (updated 2013),Bangladesh,1210997,independent political entity,,,,,24,90,6

CRP4_2,4,Developing agrobiodiversity-based strategies for better nutrition security among smallholder households in banana growing regions of East Africa,A4NH_where we work (updated 2013),Bukoba District,160960,second-order administrative division,3056,Kagera,33680,Bukoba Rural,-1.33333,31.5,3

CRP4_2,4,Developing agrobiodiversity-based strategies for better nutrition security among smallholder households in banana growing regions of East Africa,A4NH_where we work (updated 2013),Kiboga,231550,seat of a second-order administrative division,3102,Kiboga,33860,Kiboga,0.91611,31.77417,3

CRP4_3,4,The effects of market integration on the nutritional contributions of traditional foods to the wellbeing of the rural poor in Africa,A4NH_where we work (updated 2013),Zou Department,2390719,first-order administrative division,620,Zou,,,7.25,2.16667,4

CRP4_3,4,The effects of market integration on the nutritional contributions of traditional foods to the wellbeing of the rural poor in Africa,A4NH_where we work (updated 2013),Atlantique Department,2395504,first-order administrative division,611,Atlantique,,,6.66667,2.25,4

CRP4_3,4,The effects of market integration on the nutritional contributions of traditional foods to the wellbeing of the rural poor in Africa,A4NH_where we work (updated 2013),Kenya,192950,independent political entity,,,,,1,38,6

CRP4_4,4,Investigating the current and potential role of local biodiversity in meeting nutritional requirements for complementary foods of infants and young children in Southern Benin,A4NH_where we work (updated 2013),Mono,2392716,first-order administrative division,617,Mono,,,6.58333,1.83333,4

CRP4_5,4,Improving nutritional health of women and children through increased utilization of local agrobiodiversity in Kenya (INULA),A4NH_where we work (updated 2013),Nyanza Province,182763,historical first-order administrative division,51330,Nyanza,,,-0.5,34.5,4

CRP4_5,4,Improving nutritional health of women and children through increased utilization of local agrobiodiversity in Kenya (INULA),A4NH_where we work (updated 2013),Western Province,400743,historical first-order administrative division,51332,Western,,,0.5,34.58333,4

CRP4_6,4,Advancing through Sustainable Diets,A4NH_where we work (updated 2013),Spain,2510769,independent political entity,,,,,40,-4,6

CRP4_6,4,Advancing through Sustainable Diets,A4NH_where we work (updated 2013),Arrondissement of Montpellier,2992165,third-order administrative division,1260,Languedoc-Rousillon,16287,Herault,43.66667,3.83333,1

CRP4_7,4,Mainstreaming biodiversity conservation and sustainable use for improved human nutrition and well-being   ? Biodiversity for Food and Nutrition Project,A4NH_where we work (updated 2013),Turkey,298795,independent political entity,,,,,39,35,6

CRP4_7,4,Mainstreaming biodiversity conservation and sustainable use for improved human nutrition and well-being   ? Biodiversity for Food and Nutrition Project,A4NH_where we work (updated 2013),Sri Lanka,1227603,independent political entity,,,,,7.75,80.75,6

CRP4_7,4,Mainstreaming biodiversity conservation and sustainable use for improved human nutrition and well-being   ? Biodiversity for Food and Nutrition Project,A4NH_where we work (updated 2013),Kenya,192950,independent political entity,,,,,1,38,6

CRP4_7,4,Mainstreaming biodiversity conservation and sustainable use for improved human nutrition and well-being   ? Biodiversity for Food and Nutrition Project,A4NH_where we work (updated 2013),Brazil,3469034,independent political entity,,,,,-10,-55,6

CRP4_8,4,"USAID Horticulture Project, CIP/AVRDC Bangladesh",A4NH_where we work (updated 2013),Chittagong,1205733,seat of a first-order administrative division,576,Chittagong,,,22.3384,91.83168,4

CRP4_8,4,"USAID Horticulture Project, CIP/AVRDC Bangladesh",A4NH_where we work (updated 2013),Baris  l,1336137,seat of a first-order administrative division,575,Barisal,,,22.70497,90.37013,4

CRP4_8,4,"USAID Horticulture Project, CIP/AVRDC Bangladesh",A4NH_where we work (updated 2013),Khulna Division,1337210,first-order administrative division,578,Khulna,,,22.91667,89.25,4

CRP4_8,4,"USAID Horticulture Project, CIP/AVRDC Bangladesh",A4NH_where we work (updated 2013),Dhaka Division,1337179,first-order administrative division,577,Dhaka,,,24.16667,90.41667,4

CRP4_9,4,Nutritional Quality Assurance and Enhancement Network (NQAEN) ,A4NH_where we work (updated 2013),Peru,3932488,independent political entity,,,,,-10,-75.25,6

CRP4_9,4,Nutritional Quality Assurance and Enhancement Network (NQAEN) ,A4NH_where we work (updated 2013),Ecuador,3658394,independent political entity,,,,,-1.25,-78.25,6

