CRP,source_details,geo_name,geo_name_id,location_type,adm1,adm1name,adm2,adm2name,latitude,longitude,precision
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Afghanistan,1149361,independent political entity,,,,,33,66,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Amu Darya,601415,stream,3287,Karakalpakstan,39769,Muynak district,43.666667,59.016667,2
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Andes Mountains,3923974,mountains,,,,,-16.87814699,-70.30151367,5
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Angola,3351879,independent political entity,,,,,-12.5,18.5,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Bangladesh,1210997,independent political entity,,,,,24,90,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Benin,2395170,independent political entity,,,,,9.5,2.25,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Bolivia,3923057,independent political entity,,,,,-17,-65,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Botswana,933860,independent political entity,,,,,-22,24,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Burkina Faso,2361809,independent political entity,,,,,13,-2,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Burundi,433561,independent political entity,,,,,-3.5,30,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Cambodia,1831722,independent political entity,,,,,13,105,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,China,1814991,independent political entity,,,,,35,105,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Colombia,3686110,independent political entity,,,,,4,-72,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Congo,203312,independent political entity,,,,,0,25,6
5,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Ecuador,3658394,independent political entity,,,,,-2,-77.5,6
