no	SRP	Cluster	2nd	Center	cg_internal	title	(select from list)	start_Planned	start_Actual	end_Planned	end_Actual	contact	rep_org_name	rep_org_type	part_org_name	part_org_role	Description	regions	countries	effort_by_basin	Admin	Site	yearly_budget	currency	(select from list)	W1&2	W3	Bilateral	Total	Nile	Volta & Niger	Limpopo & Zambezi	Amu Darya & Sur Darya	Tigris & Euphrates	Indus & Ganges	Mekong	Andes	Other	Global
1	1	1.1		12.IWMI	1.1.1	Enhancing Success of Smallholder Irrigation in Southern Africa						Pius Chilonda	IWMI	80 | Academic, Training and Research			Zimbabwe Small Irrigation Scheme This activity targets productivity of smallholder farmers using irrigation schemes in Masvingo province of Zimbabwe.  (i) Undertake baseline studies to define operational partnerships, methodology and rehabilitation approach; (ii) Rehabilitate two pilot schemes; (iii ) Prepare for up-scaling the rehabilitation of 8 other schemes.	SAFR	Zimbabwe	Limpopo & Zambezi (100)	Masvingo province	10 schemes	909013	USD	CRP - Water, Land and Ecosystems	$539,327		$369,686	$909,013			100%							
2	1	1.1		12.IWMI	1.1.2	Stakeholder engagement with implementing partners in eastern and southern Africa; increasing implementation capacity and community engagement in AWM						Nicole Lefore	IWMI	80 | Academic, Training and Research			learning alliance/action research on community engagement; continued work with spate irrigation; gender research (TBD)	EAFR; SAFR		Nile, Limpopo & Zambezi (50/50)			1196178	USD	CRP - Water, Land and Ecosystems	$709,705		$486,473	$1,196,178	50%		50%							
3	1	1.1	4.1	5.CPWF	1.1.3	Small-scale water infrastructure in the Limpopo						 Jiyani	CPWF	80 | Academic, Training and Research			Research on improved establishment, rehabilitation and operation of small water infrastructure, including rainwater harvesting, for multiple uses, in the Limpopo basin. Specific activities include an inventory of SWI, reasons for success or failure of different SWI operations, and guidelines for improvements in governance, institutions and management relating to SWI. 	SAFR		Limpopo & Zambezi (100)			480205	USD	CRP - Water, Land and Ecosystems	$480,205			$480,205			100%							
4	1	1.1	4.1	5.CPWF	1.1.4	Integrated management of small reservoirs for multiple uses						 Cecchi	CPWF	80 | Academic, Training and Research			Research on improved small reservoir management in the Volta basin, in the context of all water harvesting infrastructures, with a special focus on the relationships among  agricultural intensification, aquatic weeds, and system resilience	WAFR		Volta & Niger (100)			241921	USD	CRP - Water, Land and Ecosystems		$241,921		$241,921		100%								
5	1	1.1		6.ICARDA	1.1.5	Building and using a multiscale water and nutrients model including crop, farm, irrigation systems, canal supply system and drainage system to assess the water and nutrients/salts balance, processes and dynamics.   						 Karrou; Oweis	ICARDA	80 | Academic, Training and Research			Secondary data on water inputs/outputs, salt build-up and rainfall will be collected   Soil mositure and crops data will be collected from field experiments conducted in 2013        Furher calibration and test of two models SaltMed and CropSyst 	NAFR	Egypt	Nile (100)			425000	USD	CRP - Water, Land and Ecosystems	$96,000	$165,000	$164,000	$425,000	100%									
6	1	1.1		9.IFPRI	1.1.6	Energy use in irrigated agriculture						 Ringler	FPRI	80 | Academic, Training and Research			The project assesses the relative use and cost of energy in agriculture with a focus on irrigation, examines the relative contribution of energy to crop productivity and cost, and through using data as input into mathematical models assesses agricultural productivity and farm incomes under alternative energy price scenarios; and environmental outcomes under these scenarios, in particular greenhouse gas emissions and water\ quality.	EAFR; SASI	Ethiopia; Bangladesh	Nile, Indus & Ganges (70/30)			273173	USD	CRP - Water, Land and Ecosystems	$273,173			$273,173	70%					30%				
7	1	1.1		9.IFPRI	1.1.7	Environmental Management Options and Delivery Mechanisms to Reduce Malaria Transmission in Uganda (6059-001)						 Ringler	FPRI	80 | Academic, Training and Research			Proof-of-concept for the suitability of addressing agricultural productivity and malaria outcomes jointly through enhanced environmental management as an innovative extension mechanism. 	EAFR	Uganda	Nile (100)			13902	USD	CRP - Water, Land and Ecosystems			$13,902	$13,902	100%									
8	1	1.2		12.IWMI	1.2.1	Improving canal irrigation performance in Asia				30-Nov-14		Arif Anwar	IWMI	80 | Academic, Training and Research			Revitalizing Irrigation in Pakistan This activity aims at transformation of surface and groundwater management in the Indus Basin Irrigation System to enhance food security, reduce poverty and adapt to uncertainties brought about by both climate change and changing water demand. It will pilot new systems for main canal management, and develop effective support systems for Farmers’ Organizations based in part on other South Asian models while at the same time pushing beyond conventional Participatory Irrigation Management (PIM) /Irrigation Management Transfer (IMT) approaches.	SASI	Pakistan	Indus & Ganges (100)			2407531	USD	CRP - Water, Land and Ecosystems	$1,428,414		$979,117	$2,407,531						100%				
9	1	1.2		12.IWMI	1.2.2	Improving Water Productivity						K; Robyn Palanisami; Johnston	IWMI	80 | Academic, Training and Research			1.Quick study of tanks in east India and Nepal to prepare the main proposal.  Comparison of the time series data from 1997 to 2010 on tank irrigation based rice cultivation.	SASI	India; Nepal	Indus & Ganges (100)			124213	USD	CRP - Water, Land and Ecosystems	$73,697		$50,516	$124,213						100%				
10	1	1.2		6.ICARDA	1.2.3	Salinity mapping of Iraq agricultural lands and assessment of the sources and distribution of the lower Tigres/Euphrates river water using remote sensing, GIS and historic land and river flow data						 Ziadat	ICARDA	80 | Academic, Training and Research			Soil salinization is caused by various natural and/or human-induced factors. The consequences are many and most importantly the reduction of yield and eventually low income, increase of un-cultivated land and consequently high levels of immigration. The individual and collective factors that cause excessive soil salinity is site specific and complicated. However, understanding the distribution and extent of these factors is indispensible to suggest effective remedial interventions. GIS and remote sensing are viable tools to facilitate this understanding. The activity aims at analyzing available data and capitalizing on local knowledge and expertise to map soil and water salinity and ultimately provide information about the distribution and causes of soil salinization. This will provide basis for suggesting relevant intervention to deal with various cases	WANA	Iraq	Tigris & Euphrates (100)			350000	USD	CRP - Water, Land and Ecosystems	$114,000	$118,000	$118,000	$350,000					100%					
