id	name
CG-IDO-01	Productivity - Improved productivity in pro-poor food systems
CG-IDO-02	Food security - Increased and stable access to food commodities by rural and urban poor
CG-IDO-03	Nutrition - Improved diet quality of nutritionally-vulnerable populations, especially women and children
CG-IDO-04	Income - Increased and more equitable income from agricultural and natural resources management and environmental services earned by low income value chain actors
CG-IDO-05	Gender and Empowerment - Increased control over resources and participation in decision-making by women and other marginalized groups
CG-IDO-06	Capacity to Innovate - Increased capacity for innovation within low income and vulnerable rural communities allowing them to improve livelihoods
CG-IDO-07	Adaptive capacity - Increased capacity in low income communities to adapt to environmental and economic variability, shocks and longer term changes
CG-IDO-08	Policies - More effective policies, supporting sustainable, resilient and equitable agricultural and natural resources management developed and adopted by agricultural, conservation and development organizations, national governments and international bodies
CG-IDO-09	Environment - Minimized adverse environmental effects of increased production intensification
CG-IDO-10	Future Options - Greater resilience of agricultural/forest/water based/mixed crop livestock, aquatic systems for enhanced ecosystem services 
CG-IDO-11	Climate - Increased carbon sequestration and reduction of greenhouse gases through improved agriculture and natural resources management

